lh.aparc.foldind,lh_bankssts_foldind,lh_caudalanteriorcingulate_foldind,lh_caudalmiddlefrontal_foldind,lh_cuneus_foldind,lh_entorhinal_foldind,lh_fusiform_foldind,lh_inferiorparietal_foldind,lh_inferiortemporal_foldind,lh_isthmuscingulate_foldind,lh_lateraloccipital_foldind,lh_lateralorbitofrontal_foldind,lh_lingual_foldind,lh_medialorbitofrontal_foldind,lh_middletemporal_foldind,lh_parahippocampal_foldind,lh_paracentral_foldind,lh_parsopercularis_foldind,lh_parsorbitalis_foldind,lh_parstriangularis_foldind,lh_pericalcarine_foldind,lh_postcentral_foldind,lh_posteriorcingulate_foldind,lh_precentral_foldind,lh_precuneus_foldind,lh_rostralanteriorcingulate_foldind,lh_rostralmiddlefrontal_foldind,lh_superiorfrontal_foldind,lh_superiorparietal_foldind,lh_superiortemporal_foldind,lh_supramarginal_foldind,lh_frontalpole_foldind,lh_temporalpole_foldind,lh_transversetemporal_foldind,lh_insula_foldind,BrainSegVolNotVent,eTIV
28979,3.0,11.0,24.0,27.0,10.0,49.0,64.0,48.0,20.0,87.0,32.0,51.0,50.0,45.0,8.0,11.0,25.0,13.0,17.0,20.0,48.0,19.0,51.0,52.0,8.0,91.0,91.0,83.0,42.0,39.0,8.0,8.0,5.0,27.0,1155047.0,1374901.02337
28980,7.0,16.0,30.0,31.0,9.0,57.0,66.0,65.0,21.0,87.0,45.0,58.0,26.0,44.0,7.0,17.0,18.0,19.0,23.0,18.0,55.0,21.0,55.0,58.0,11.0,97.0,108.0,75.0,41.0,51.0,6.0,7.0,11.0,33.0,1026386.0,1194264.16193
28981,17.0,11.0,36.0,25.0,4.0,52.0,120.0,93.0,18.0,105.0,53.0,32.0,74.0,79.0,10.0,23.0,25.0,29.0,30.0,14.0,64.0,31.0,63.0,62.0,19.0,156.0,141.0,99.0,56.0,54.0,12.0,10.0,6.0,53.0,1364873.0,1573988.172809
28982,15.0,11.0,47.0,35.0,6.0,75.0,111.0,97.0,17.0,119.0,61.0,58.0,42.0,79.0,8.0,19.0,34.0,19.0,26.0,23.0,72.0,21.0,62.0,76.0,23.0,130.0,156.0,101.0,60.0,82.0,9.0,11.0,10.0,40.0,1328983.0,1668972.138392
28983,9.0,12.0,37.0,36.0,7.0,66.0,92.0,81.0,16.0,108.0,51.0,48.0,45.0,73.0,13.0,21.0,36.0,18.0,19.0,21.0,76.0,22.0,68.0,60.0,15.0,109.0,122.0,113.0,68.0,110.0,14.0,11.0,7.0,33.0,1277605.0,1532343.755791
28984,7.0,6.0,32.0,29.0,6.0,81.0,88.0,77.0,14.0,101.0,42.0,56.0,53.0,70.0,5.0,14.0,31.0,17.0,28.0,20.0,80.0,28.0,69.0,68.0,8.0,149.0,126.0,97.0,56.0,82.0,8.0,11.0,7.0,43.0,1292514.0,1638770.284467
28985,6.0,10.0,29.0,33.0,1.0,59.0,75.0,69.0,21.0,92.0,39.0,51.0,51.0,56.0,8.0,14.0,22.0,17.0,21.0,21.0,62.0,24.0,58.0,62.0,22.0,102.0,97.0,92.0,38.0,71.0,11.0,9.0,9.0,33.0,1210539.0,1533896.545571
28986,6.0,10.0,39.0,35.0,4.0,52.0,64.0,54.0,20.0,103.0,54.0,59.0,52.0,71.0,6.0,17.0,26.0,20.0,25.0,23.0,63.0,31.0,64.0,71.0,16.0,132.0,106.0,100.0,54.0,67.0,10.0,7.0,9.0,49.0,1435366.0,1754913.975327
28987,10.0,12.0,26.0,27.0,3.0,62.0,51.0,70.0,15.0,76.0,37.0,48.0,39.0,59.0,8.0,20.0,33.0,16.0,26.0,16.0,43.0,18.0,50.0,43.0,9.0,125.0,114.0,49.0,53.0,50.0,8.0,8.0,6.0,33.0,1128623.0,1314934.348739
28988,9.0,10.0,25.0,28.0,7.0,48.0,77.0,46.0,18.0,100.0,45.0,47.0,39.0,60.0,6.0,20.0,26.0,14.0,14.0,20.0,69.0,23.0,58.0,51.0,14.0,102.0,105.0,91.0,53.0,67.0,9.0,6.0,9.0,36.0,1084090.0,1279518.892279
28989,17.0,15.0,38.0,40.0,11.0,62.0,95.0,86.0,23.0,105.0,58.0,70.0,51.0,72.0,10.0,17.0,26.0,25.0,24.0,30.0,58.0,33.0,59.0,75.0,16.0,166.0,126.0,88.0,79.0,68.0,23.0,8.0,7.0,30.0,1285635.0,1635617.81556
28990,9.0,25.0,42.0,34.0,6.0,69.0,121.0,83.0,26.0,115.0,62.0,60.0,45.0,81.0,9.0,25.0,20.0,23.0,24.0,20.0,89.0,26.0,62.0,90.0,18.0,162.0,148.0,148.0,66.0,99.0,14.0,11.0,9.0,56.0,1302038.0,1525557.550479
28991,6.0,11.0,24.0,25.0,3.0,54.0,75.0,68.0,14.0,92.0,36.0,48.0,43.0,60.0,9.0,16.0,18.0,12.0,15.0,19.0,61.0,21.0,52.0,57.0,14.0,93.0,96.0,91.0,52.0,60.0,6.0,9.0,6.0,41.0,1176447.0,1427470.477673
28992,11.0,20.0,21.0,30.0,6.0,67.0,95.0,82.0,17.0,105.0,49.0,53.0,37.0,69.0,6.0,15.0,27.0,19.0,36.0,20.0,67.0,24.0,43.0,78.0,16.0,135.0,106.0,96.0,50.0,73.0,14.0,12.0,12.0,32.0,1250187.0,1626125.152563
28993,8.0,14.0,30.0,27.0,6.0,43.0,83.0,64.0,23.0,88.0,46.0,40.0,41.0,56.0,9.0,14.0,26.0,17.0,17.0,13.0,70.0,25.0,69.0,81.0,16.0,97.0,99.0,101.0,49.0,86.0,9.0,8.0,9.0,41.0,1327024.0,1625408.649954
28994,7.0,9.0,23.0,29.0,4.0,57.0,82.0,66.0,18.0,101.0,45.0,45.0,30.0,50.0,13.0,16.0,20.0,14.0,17.0,18.0,64.0,21.0,60.0,47.0,13.0,100.0,112.0,86.0,59.0,57.0,8.0,9.0,11.0,27.0,1104655.0,1303831.877273
28995,14.0,13.0,44.0,33.0,8.0,65.0,87.0,93.0,29.0,121.0,52.0,64.0,50.0,72.0,15.0,22.0,28.0,19.0,23.0,26.0,66.0,26.0,60.0,82.0,26.0,117.0,137.0,91.0,71.0,97.0,11.0,13.0,8.0,34.0,1680499.0,1916718.24352
28996,17.0,10.0,48.0,31.0,4.0,67.0,98.0,83.0,28.0,111.0,44.0,62.0,49.0,86.0,9.0,17.0,26.0,17.0,24.0,25.0,77.0,31.0,67.0,93.0,22.0,139.0,140.0,116.0,70.0,104.0,7.0,10.0,10.0,43.0,1401319.0,1728609.155492
28997,8.0,7.0,26.0,22.0,3.0,49.0,64.0,54.0,15.0,79.0,39.0,55.0,31.0,49.0,10.0,12.0,20.0,20.0,19.0,16.0,54.0,22.0,44.0,56.0,11.0,105.0,100.0,74.0,40.0,74.0,10.0,9.0,4.0,27.0,1059120.0,1164829.261593
28998,8.0,14.0,45.0,34.0,7.0,61.0,101.0,82.0,22.0,117.0,55.0,57.0,55.0,72.0,7.0,18.0,27.0,18.0,18.0,19.0,71.0,22.0,58.0,73.0,28.0,118.0,138.0,116.0,55.0,76.0,9.0,10.0,9.0,37.0,1314031.0,1662963.347257
28999,12.0,21.0,27.0,30.0,9.0,63.0,114.0,62.0,23.0,119.0,57.0,68.0,53.0,66.0,10.0,18.0,36.0,20.0,32.0,23.0,84.0,24.0,58.0,54.0,20.0,145.0,112.0,93.0,62.0,75.0,12.0,8.0,9.0,34.0,1325300.0,1363859.676675
29000,7.0,12.0,30.0,23.0,4.0,55.0,73.0,52.0,22.0,95.0,43.0,52.0,39.0,49.0,6.0,15.0,28.0,18.0,24.0,20.0,65.0,18.0,58.0,78.0,18.0,125.0,112.0,107.0,43.0,86.0,10.0,14.0,9.0,34.0,1113949.0,1347498.974976
29001,12.0,11.0,41.0,34.0,4.0,53.0,102.0,71.0,18.0,78.0,70.0,58.0,40.0,76.0,13.0,26.0,27.0,24.0,28.0,24.0,82.0,39.0,70.0,78.0,18.0,155.0,141.0,95.0,77.0,92.0,8.0,10.0,7.0,51.0,1305399.0,1566503.041045
29002,8.0,19.0,43.0,31.0,5.0,54.0,87.0,69.0,24.0,100.0,55.0,42.0,47.0,74.0,10.0,18.0,30.0,12.0,26.0,14.0,70.0,28.0,63.0,73.0,23.0,145.0,144.0,77.0,64.0,101.0,11.0,6.0,8.0,55.0,1384132.0,1856677.67097
29003,21.0,10.0,30.0,27.0,4.0,80.0,128.0,75.0,16.0,102.0,62.0,62.0,58.0,99.0,8.0,16.0,27.0,31.0,26.0,21.0,68.0,21.0,60.0,64.0,16.0,139.0,122.0,78.0,58.0,95.0,12.0,8.0,9.0,45.0,1306905.0,1633910.849063
29004,10.0,8.0,21.0,29.0,9.0,54.0,69.0,69.0,18.0,89.0,33.0,52.0,40.0,55.0,6.0,14.0,18.0,15.0,24.0,17.0,55.0,24.0,43.0,50.0,16.0,101.0,106.0,71.0,48.0,59.0,7.0,10.0,5.0,29.0,1076075.0,1294710.56291
29005,9.0,24.0,38.0,28.0,5.0,60.0,83.0,60.0,23.0,86.0,43.0,52.0,47.0,68.0,10.0,14.0,32.0,18.0,27.0,24.0,60.0,28.0,70.0,77.0,22.0,123.0,109.0,95.0,53.0,71.0,9.0,11.0,10.0,30.0,1244694.0,1506660.859823
29006,14.0,10.0,41.0,33.0,4.0,58.0,75.0,56.0,16.0,114.0,44.0,71.0,46.0,53.0,6.0,14.0,24.0,14.0,26.0,24.0,50.0,16.0,63.0,66.0,12.0,110.0,108.0,87.0,55.0,68.0,7.0,6.0,7.0,27.0,1244579.0,1792077.718501
29007,8.0,13.0,31.0,30.0,10.0,55.0,70.0,59.0,19.0,94.0,42.0,49.0,47.0,49.0,19.0,13.0,20.0,15.0,20.0,26.0,48.0,19.0,53.0,58.0,15.0,126.0,123.0,81.0,43.0,49.0,10.0,8.0,5.0,28.0,1390783.0,1794442.636765
29008,7.0,9.0,21.0,29.0,4.0,46.0,59.0,48.0,15.0,83.0,41.0,45.0,46.0,48.0,6.0,11.0,25.0,11.0,16.0,21.0,42.0,21.0,50.0,53.0,19.0,90.0,88.0,83.0,43.0,59.0,7.0,7.0,4.0,23.0,1108014.0,1176688.714162
29009,10.0,9.0,21.0,18.0,6.0,48.0,73.0,54.0,16.0,92.0,29.0,44.0,32.0,63.0,10.0,14.0,21.0,13.0,14.0,25.0,46.0,18.0,48.0,46.0,13.0,79.0,79.0,73.0,55.0,63.0,5.0,7.0,9.0,32.0,1127701.0,1467596.034111
29010,7.0,8.0,25.0,28.0,3.0,52.0,59.0,60.0,20.0,90.0,34.0,54.0,32.0,56.0,9.0,12.0,23.0,9.0,18.0,32.0,60.0,21.0,62.0,54.0,12.0,73.0,80.0,88.0,67.0,82.0,9.0,9.0,8.0,23.0,1178490.0,1471048.427561
29011,11.0,15.0,31.0,25.0,4.0,45.0,69.0,58.0,23.0,84.0,40.0,67.0,35.0,48.0,4.0,10.0,14.0,11.0,16.0,22.0,56.0,22.0,55.0,64.0,19.0,82.0,98.0,65.0,46.0,59.0,7.0,7.0,7.0,40.0,1236499.0,1703879.627109
29012,12.0,11.0,25.0,23.0,7.0,49.0,51.0,51.0,10.0,52.0,31.0,39.0,28.0,48.0,7.0,9.0,15.0,10.0,19.0,14.0,45.0,19.0,56.0,44.0,11.0,78.0,77.0,56.0,34.0,58.0,4.0,7.0,8.0,23.0,1035025.0,1381119.847967
29013,12.0,24.0,29.0,29.0,3.0,58.0,86.0,49.0,21.0,96.0,46.0,60.0,42.0,64.0,6.0,16.0,24.0,16.0,22.0,31.0,47.0,25.0,49.0,58.0,27.0,105.0,98.0,77.0,53.0,69.0,6.0,6.0,5.0,37.0,1315492.0,1513725.373228
29014,8.0,11.0,18.0,21.0,4.0,53.0,64.0,56.0,14.0,65.0,44.0,40.0,36.0,43.0,5.0,14.0,16.0,13.0,14.0,20.0,36.0,18.0,55.0,50.0,6.0,80.0,81.0,64.0,34.0,47.0,6.0,7.0,6.0,29.0,1131806.0,1622264.813454
29015,9.0,10.0,18.0,28.0,4.0,40.0,74.0,53.0,15.0,87.0,40.0,47.0,38.0,59.0,6.0,9.0,18.0,10.0,15.0,18.0,47.0,13.0,42.0,55.0,26.0,84.0,84.0,78.0,44.0,52.0,7.0,8.0,6.0,26.0,1059313.0,1139033.777731
29016,11.0,8.0,19.0,27.0,4.0,49.0,72.0,52.0,18.0,78.0,35.0,46.0,75.0,58.0,6.0,13.0,21.0,17.0,19.0,14.0,48.0,20.0,42.0,57.0,13.0,91.0,98.0,71.0,51.0,56.0,9.0,6.0,7.0,26.0,1291429.0,1778540.749043
29017,5.0,7.0,24.0,24.0,10.0,49.0,43.0,55.0,10.0,91.0,37.0,53.0,31.0,39.0,5.0,11.0,18.0,10.0,14.0,17.0,47.0,8.0,44.0,55.0,16.0,80.0,81.0,80.0,33.0,49.0,6.0,10.0,4.0,31.0,1081716.0,1702201.738778
29018,9.0,15.0,23.0,31.0,3.0,54.0,64.0,49.0,18.0,89.0,39.0,47.0,28.0,46.0,5.0,16.0,15.0,15.0,16.0,23.0,60.0,16.0,50.0,51.0,11.0,91.0,86.0,63.0,48.0,48.0,5.0,7.0,6.0,26.0,1193945.0,1605555.16298
29019,6.0,11.0,21.0,26.0,4.0,39.0,72.0,56.0,16.0,77.0,34.0,35.0,39.0,58.0,4.0,12.0,18.0,14.0,20.0,14.0,44.0,24.0,48.0,62.0,16.0,83.0,91.0,79.0,42.0,58.0,6.0,5.0,4.0,32.0,1135911.0,1571357.005034
29020,7.0,8.0,26.0,27.0,6.0,46.0,61.0,41.0,13.0,64.0,29.0,50.0,31.0,34.0,11.0,14.0,25.0,11.0,16.0,18.0,40.0,18.0,51.0,48.0,8.0,75.0,70.0,76.0,44.0,47.0,10.0,8.0,4.0,23.0,1071353.0,1538793.631382
29021,12.0,15.0,24.0,26.0,6.0,48.0,69.0,50.0,16.0,74.0,36.0,54.0,43.0,52.0,7.0,11.0,26.0,8.0,24.0,19.0,48.0,18.0,48.0,52.0,17.0,93.0,102.0,73.0,47.0,60.0,5.0,8.0,6.0,42.0,1210932.0,1695314.667027
29022,8.0,13.0,25.0,35.0,7.0,50.0,60.0,58.0,20.0,77.0,40.0,49.0,34.0,56.0,5.0,14.0,24.0,12.0,24.0,30.0,48.0,21.0,42.0,40.0,20.0,94.0,88.0,61.0,49.0,42.0,8.0,8.0,7.0,42.0,1107831.0,1470107.131418
29023,7.0,10.0,23.0,31.0,5.0,50.0,68.0,55.0,14.0,78.0,37.0,39.0,37.0,42.0,6.0,14.0,23.0,10.0,21.0,19.0,47.0,21.0,58.0,56.0,16.0,97.0,89.0,67.0,47.0,61.0,9.0,8.0,7.0,28.0,1093526.0,1461360.235733
29024,11.0,11.0,30.0,25.0,4.0,47.0,66.0,59.0,21.0,79.0,42.0,42.0,40.0,57.0,7.0,15.0,21.0,12.0,15.0,14.0,59.0,35.0,103.0,56.0,15.0,95.0,92.0,67.0,46.0,64.0,5.0,12.0,6.0,36.0,1309318.0,1856582.750287
29025,8.0,10.0,23.0,21.0,4.0,45.0,45.0,51.0,14.0,82.0,36.0,40.0,28.0,40.0,9.0,11.0,17.0,11.0,17.0,19.0,35.0,15.0,47.0,45.0,11.0,82.0,90.0,68.0,47.0,41.0,7.0,6.0,5.0,22.0,1066949.0,1557791.755477
29026,8.0,4.0,24.0,24.0,7.0,40.0,61.0,52.0,14.0,74.0,37.0,49.0,28.0,50.0,5.0,14.0,20.0,14.0,21.0,14.0,45.0,13.0,53.0,45.0,14.0,78.0,87.0,64.0,48.0,58.0,8.0,6.0,5.0,27.0,1022913.0,1466694.164119
29027,12.0,16.0,24.0,25.0,5.0,51.0,62.0,47.0,15.0,76.0,38.0,41.0,31.0,54.0,4.0,16.0,21.0,11.0,17.0,16.0,43.0,24.0,49.0,52.0,23.0,76.0,86.0,77.0,48.0,62.0,6.0,10.0,6.0,19.0,1101888.0,1514846.654088
29028,11.0,11.0,18.0,28.0,10.0,63.0,95.0,59.0,13.0,107.0,30.0,54.0,48.0,70.0,7.0,15.0,22.0,13.0,22.0,25.0,45.0,15.0,51.0,47.0,16.0,138.0,115.0,64.0,44.0,67.0,8.0,9.0,8.0,20.0,1208398.0,1638917.049984
29029,8.0,12.0,24.0,26.0,8.0,51.0,76.0,61.0,18.0,93.0,43.0,51.0,33.0,59.0,5.0,13.0,22.0,11.0,20.0,21.0,53.0,26.0,47.0,52.0,12.0,99.0,109.0,86.0,46.0,58.0,12.0,7.0,6.0,22.0,1117951.0,1411384.384547
29030,6.0,9.0,16.0,24.0,2.0,53.0,64.0,48.0,15.0,84.0,27.0,42.0,49.0,42.0,5.0,11.0,19.0,9.0,20.0,23.0,50.0,16.0,41.0,44.0,10.0,78.0,87.0,56.0,41.0,37.0,8.0,5.0,4.0,24.0,1067879.0,1488992.310389
29031,10.0,19.0,39.0,27.0,4.0,65.0,67.0,54.0,18.0,97.0,43.0,44.0,38.0,61.0,5.0,19.0,19.0,16.0,16.0,18.0,53.0,24.0,53.0,64.0,19.0,109.0,101.0,91.0,64.0,87.0,7.0,9.0,12.0,32.0,1360298.0,1890102.227904
29032,6.0,9.0,28.0,35.0,6.0,51.0,62.0,57.0,18.0,79.0,35.0,67.0,35.0,42.0,10.0,9.0,17.0,11.0,18.0,28.0,49.0,16.0,50.0,52.0,14.0,101.0,85.0,73.0,51.0,59.0,5.0,8.0,10.0,24.0,1223546.0,1683748.36515
29033,10.0,6.0,22.0,18.0,3.0,51.0,63.0,55.0,16.0,93.0,31.0,36.0,32.0,45.0,4.0,17.0,15.0,11.0,15.0,19.0,55.0,16.0,51.0,51.0,9.0,82.0,85.0,74.0,43.0,59.0,4.0,7.0,5.0,28.0,1080892.0,1317399.772267
29034,14.0,7.0,25.0,28.0,5.0,43.0,78.0,52.0,15.0,84.0,41.0,63.0,43.0,61.0,4.0,14.0,25.0,14.0,20.0,32.0,56.0,18.0,54.0,49.0,15.0,102.0,89.0,83.0,49.0,71.0,10.0,9.0,8.0,25.0,1288447.0,1718196.147319
29035,9.0,10.0,33.0,33.0,5.0,53.0,74.0,50.0,14.0,86.0,38.0,68.0,46.0,44.0,5.0,14.0,20.0,10.0,13.0,22.0,55.0,23.0,59.0,70.0,18.0,89.0,92.0,90.0,47.0,64.0,8.0,7.0,8.0,28.0,1232192.0,1670373.898138
29036,12.0,11.0,26.0,29.0,4.0,48.0,61.0,52.0,16.0,92.0,42.0,46.0,45.0,56.0,4.0,11.0,16.0,12.0,13.0,17.0,63.0,21.0,62.0,67.0,17.0,109.0,85.0,81.0,54.0,62.0,9.0,6.0,7.0,30.0,1218556.0,1317639.088832
29037,7.0,12.0,28.0,26.0,5.0,59.0,66.0,81.0,17.0,103.0,42.0,62.0,53.0,56.0,7.0,22.0,20.0,16.0,26.0,23.0,50.0,17.0,70.0,42.0,16.0,131.0,109.0,48.0,49.0,53.0,13.0,11.0,7.0,27.0,1329930.0,1856272.11112
29038,8.0,8.0,27.0,27.0,4.0,49.0,70.0,56.0,12.0,104.0,25.0,65.0,31.0,58.0,6.0,18.0,27.0,14.0,21.0,21.0,55.0,14.0,64.0,63.0,12.0,94.0,105.0,92.0,54.0,66.0,7.0,8.0,5.0,22.0,1174458.0,1629845.729821
29039,9.0,18.0,35.0,30.0,4.0,58.0,74.0,59.0,30.0,110.0,41.0,48.0,38.0,50.0,5.0,21.0,22.0,11.0,22.0,22.0,46.0,34.0,53.0,60.0,24.0,104.0,93.0,83.0,63.0,68.0,7.0,10.0,7.0,41.0,1271315.0,1692749.758438
29040,10.0,9.0,24.0,25.0,5.0,40.0,65.0,50.0,16.0,99.0,39.0,60.0,36.0,51.0,6.0,14.0,20.0,13.0,16.0,19.0,50.0,19.0,50.0,61.0,19.0,80.0,85.0,72.0,44.0,56.0,8.0,9.0,6.0,26.0,1059970.0,1431173.753434
29041,13.0,12.0,19.0,20.0,2.0,37.0,67.0,53.0,8.0,76.0,32.0,43.0,34.0,47.0,4.0,12.0,18.0,12.0,12.0,13.0,41.0,18.0,41.0,45.0,11.0,88.0,85.0,58.0,37.0,59.0,5.0,6.0,3.0,22.0,1066572.0,1197256.32849
29042,12.0,6.0,21.0,27.0,8.0,42.0,89.0,61.0,16.0,92.0,38.0,43.0,42.0,64.0,6.0,24.0,23.0,10.0,26.0,17.0,49.0,15.0,57.0,62.0,20.0,88.0,87.0,96.0,42.0,68.0,8.0,7.0,3.0,26.0,1261415.0,1771879.117278
29043,9.0,7.0,24.0,30.0,3.0,40.0,63.0,53.0,20.0,78.0,46.0,43.0,35.0,47.0,6.0,15.0,16.0,14.0,20.0,17.0,48.0,19.0,58.0,58.0,8.0,75.0,86.0,80.0,47.0,65.0,7.0,7.0,5.0,29.0,1135167.0,1562504.997136
29044,12.0,14.0,26.0,27.0,6.0,45.0,60.0,61.0,17.0,72.0,43.0,53.0,44.0,64.0,12.0,14.0,23.0,13.0,20.0,21.0,51.0,22.0,59.0,60.0,18.0,99.0,103.0,83.0,53.0,67.0,7.0,6.0,7.0,39.0,1140054.0,1425244.371937
29045,11.0,6.0,30.0,20.0,11.0,40.0,64.0,51.0,12.0,78.0,49.0,34.0,37.0,57.0,9.0,15.0,21.0,12.0,15.0,12.0,47.0,21.0,58.0,47.0,13.0,107.0,98.0,73.0,54.0,52.0,8.0,6.0,7.0,25.0,1065661.0,1467786.639541
29046,9.0,9.0,29.0,32.0,2.0,50.0,57.0,50.0,21.0,104.0,39.0,57.0,31.0,53.0,4.0,14.0,25.0,14.0,24.0,29.0,53.0,21.0,54.0,58.0,17.0,116.0,108.0,73.0,52.0,60.0,6.0,8.0,6.0,35.0,1289862.0,1548710.391185
29047,5.0,12.0,26.0,23.0,6.0,38.0,48.0,37.0,14.0,66.0,38.0,51.0,35.0,38.0,8.0,10.0,17.0,11.0,15.0,23.0,37.0,18.0,40.0,50.0,10.0,70.0,79.0,71.0,52.0,70.0,5.0,7.0,5.0,33.0,1155545.0,1265642.114598
29048,11.0,14.0,28.0,30.0,2.0,49.0,52.0,58.0,23.0,87.0,40.0,42.0,48.0,50.0,7.0,15.0,24.0,22.0,24.0,28.0,50.0,22.0,54.0,52.0,24.0,113.0,103.0,65.0,55.0,54.0,9.0,8.0,5.0,27.0,1291431.0,1706218.273945
29049,4.0,8.0,16.0,29.0,2.0,39.0,54.0,38.0,12.0,69.0,33.0,64.0,35.0,40.0,6.0,11.0,15.0,12.0,16.0,17.0,42.0,17.0,37.0,47.0,20.0,90.0,77.0,68.0,42.0,47.0,6.0,7.0,4.0,28.0,1088751.0,1456249.599685
29050,6.0,10.0,19.0,24.0,4.0,44.0,53.0,44.0,15.0,91.0,40.0,51.0,37.0,37.0,4.0,12.0,21.0,11.0,20.0,12.0,53.0,16.0,52.0,37.0,13.0,120.0,93.0,62.0,40.0,58.0,7.0,9.0,6.0,35.0,1136441.0,1438758.322871
29051,5.0,10.0,24.0,31.0,4.0,45.0,53.0,54.0,18.0,96.0,38.0,46.0,44.0,60.0,8.0,14.0,18.0,15.0,18.0,21.0,43.0,15.0,53.0,61.0,20.0,106.0,114.0,86.0,48.0,61.0,7.0,8.0,7.0,26.0,1236676.0,1394858.178126
29052,8.0,12.0,19.0,24.0,3.0,50.0,65.0,50.0,13.0,90.0,37.0,47.0,47.0,47.0,5.0,13.0,23.0,13.0,25.0,17.0,46.0,18.0,55.0,51.0,14.0,90.0,98.0,70.0,39.0,42.0,7.0,7.0,6.0,32.0,1156517.0,1419942.697667
29053,8.0,12.0,35.0,33.0,4.0,50.0,76.0,58.0,17.0,94.0,36.0,48.0,39.0,52.0,20.0,11.0,17.0,16.0,18.0,23.0,54.0,25.0,43.0,46.0,19.0,105.0,85.0,89.0,44.0,62.0,8.0,7.0,5.0,36.0,1183035.0,1266873.082774
29054,11.0,16.0,24.0,29.0,7.0,44.0,53.0,53.0,18.0,100.0,39.0,49.0,37.0,49.0,7.0,15.0,16.0,12.0,20.0,24.0,52.0,25.0,57.0,66.0,14.0,114.0,112.0,82.0,57.0,55.0,10.0,6.0,7.0,27.0,1150208.0,1497480.42679
29055,10.0,13.0,21.0,30.0,3.0,41.0,45.0,42.0,15.0,74.0,37.0,52.0,33.0,44.0,4.0,14.0,15.0,13.0,29.0,21.0,40.0,19.0,41.0,52.0,10.0,91.0,84.0,70.0,35.0,58.0,6.0,9.0,6.0,23.0,1038553.0,1438126.644508
29056,7.0,13.0,31.0,28.0,5.0,49.0,60.0,62.0,17.0,75.0,29.0,47.0,51.0,52.0,5.0,14.0,20.0,14.0,24.0,23.0,43.0,15.0,47.0,51.0,13.0,91.0,94.0,99.0,43.0,53.0,6.0,6.0,9.0,29.0,1140099.0,1562825.368849
29057,10.0,10.0,28.0,24.0,3.0,45.0,74.0,59.0,20.0,81.0,41.0,42.0,42.0,53.0,6.0,11.0,20.0,19.0,15.0,15.0,50.0,17.0,54.0,46.0,9.0,98.0,100.0,74.0,47.0,56.0,8.0,8.0,5.0,27.0,1157816.0,1438467.927558
29058,10.0,12.0,41.0,37.0,4.0,75.0,82.0,85.0,27.0,109.0,40.0,69.0,41.0,67.0,8.0,14.0,26.0,21.0,24.0,37.0,79.0,21.0,65.0,70.0,23.0,112.0,115.0,102.0,67.0,87.0,8.0,9.0,9.0,29.0,1334563.0,1415979.156889
29059,13.0,18.0,38.0,44.0,4.0,55.0,85.0,60.0,19.0,115.0,58.0,58.0,40.0,70.0,9.0,18.0,29.0,15.0,26.0,26.0,74.0,23.0,69.0,73.0,20.0,137.0,151.0,102.0,82.0,74.0,11.0,10.0,9.0,42.0,1448830.0,1553440.668922
29060,9.0,9.0,24.0,29.0,7.0,58.0,57.0,64.0,20.0,82.0,40.0,45.0,36.0,56.0,7.0,13.0,21.0,13.0,15.0,16.0,54.0,29.0,64.0,63.0,6.0,90.0,102.0,99.0,59.0,93.0,6.0,8.0,7.0,29.0,1093825.0,1250719.813314
29062,4.0,14.0,23.0,17.0,7.0,33.0,68.0,34.0,8.0,87.0,26.0,26.0,33.0,47.0,4.0,27.0,20.0,11.0,21.0,20.0,54.0,16.0,71.0,48.0,10.0,56.0,91.0,70.0,49.0,57.0,18.0,10.0,7.0,20.0,888153.0,1694629.39279
29063,9.0,22.0,34.0,33.0,5.0,51.0,87.0,68.0,19.0,116.0,56.0,54.0,41.0,62.0,9.0,20.0,25.0,14.0,24.0,18.0,68.0,26.0,93.0,57.0,23.0,116.0,140.0,96.0,44.0,63.0,9.0,10.0,8.0,39.0,1417213.0,1778932.028461
29064,7.0,10.0,25.0,33.0,9.0,52.0,73.0,50.0,18.0,90.0,37.0,56.0,34.0,44.0,8.0,18.0,21.0,17.0,11.0,20.0,62.0,19.0,68.0,53.0,13.0,90.0,99.0,82.0,47.0,58.0,8.0,8.0,6.0,22.0,1164760.0,1494360.776034
29065,5.0,15.0,32.0,28.0,5.0,51.0,83.0,58.0,15.0,86.0,38.0,58.0,37.0,45.0,7.0,16.0,23.0,12.0,18.0,17.0,61.0,20.0,67.0,45.0,15.0,99.0,112.0,76.0,51.0,56.0,6.0,11.0,6.0,27.0,1232785.0,1277795.077076
29066,8.0,11.0,24.0,34.0,5.0,53.0,67.0,60.0,22.0,93.0,48.0,41.0,41.0,63.0,4.0,16.0,27.0,18.0,26.0,18.0,64.0,26.0,65.0,66.0,14.0,123.0,101.0,85.0,52.0,71.0,6.0,9.0,6.0,28.0,1319388.0,1322368.303199
29067,4.0,5.0,36.0,28.0,1.0,46.0,54.0,37.0,17.0,71.0,47.0,47.0,35.0,56.0,3.0,21.0,36.0,12.0,17.0,17.0,87.0,14.0,108.0,44.0,13.0,40.0,100.0,67.0,41.0,51.0,4.0,16.0,8.0,37.0,919863.0,1792584.298878
