rh.aparc.thicknessstd,rh_bankssts_thicknessstd,rh_caudalanteriorcingulate_thicknessstd,rh_caudalmiddlefrontal_thicknessstd,rh_cuneus_thicknessstd,rh_entorhinal_thicknessstd,rh_fusiform_thicknessstd,rh_inferiorparietal_thicknessstd,rh_inferiortemporal_thicknessstd,rh_isthmuscingulate_thicknessstd,rh_lateraloccipital_thicknessstd,rh_lateralorbitofrontal_thicknessstd,rh_lingual_thicknessstd,rh_medialorbitofrontal_thicknessstd,rh_middletemporal_thicknessstd,rh_parahippocampal_thicknessstd,rh_paracentral_thicknessstd,rh_parsopercularis_thicknessstd,rh_parsorbitalis_thicknessstd,rh_parstriangularis_thicknessstd,rh_pericalcarine_thicknessstd,rh_postcentral_thicknessstd,rh_posteriorcingulate_thicknessstd,rh_precentral_thicknessstd,rh_precuneus_thicknessstd,rh_rostralanteriorcingulate_thicknessstd,rh_rostralmiddlefrontal_thicknessstd,rh_superiorfrontal_thicknessstd,rh_superiorparietal_thicknessstd,rh_superiortemporal_thicknessstd,rh_supramarginal_thicknessstd,rh_frontalpole_thicknessstd,rh_temporalpole_thicknessstd,rh_transversetemporal_thicknessstd,rh_insula_thicknessstd,BrainSegVolNotVent,eTIV
28924,0.434,0.751,0.493,0.407,1.227,0.625,0.523,0.686,0.88,0.584,0.718,0.667,0.772,0.597,0.737,0.555,0.552,0.633,0.555,0.411,0.608,0.815,0.524,0.492,0.587,0.684,0.658,0.55,0.647,0.48,0.522,0.807,0.381,0.748,1436224.0,1760286.470748
28925,0.43,0.819,0.515,0.467,0.76,0.606,0.569,0.615,0.839,0.525,0.71,0.603,0.679,0.568,0.634,0.526,0.43,0.652,0.499,0.493,0.677,0.717,0.521,0.593,0.967,0.562,0.544,0.476,0.534,0.493,0.667,0.612,0.545,0.876,1171916.0,1474324.079832
28926,0.5,0.98,0.605,0.53,0.755,0.526,0.547,0.627,0.823,0.536,0.708,0.63,0.735,0.689,0.658,0.481,0.455,0.66,0.544,0.503,0.632,0.866,0.54,0.609,0.842,0.693,0.645,0.528,0.592,0.471,0.698,0.923,0.441,0.795,1291331.0,1604340.678454
28927,0.428,0.767,0.48,0.47,0.765,0.631,0.539,0.7,0.69,0.507,0.675,0.605,0.786,0.686,0.606,0.47,0.448,0.586,0.545,0.48,0.588,0.728,0.449,0.551,0.725,0.634,0.654,0.46,0.678,0.491,0.636,0.698,0.451,0.761,1393121.0,1686914.088799
28930,0.471,0.829,0.559,0.456,0.75,0.546,0.545,0.718,0.845,0.49,0.75,0.564,0.757,0.649,0.643,0.486,0.509,0.767,0.672,0.372,0.685,0.774,0.57,0.583,0.721,0.687,0.692,0.471,0.59,0.568,0.618,0.66,0.612,0.683,1309960.0,1611299.63503
28931,0.403,0.913,0.531,0.436,0.82,0.54,0.564,0.831,0.924,0.593,0.719,0.627,0.62,0.654,0.631,0.665,0.464,0.706,0.567,0.44,0.644,0.852,0.58,0.592,0.786,0.663,0.591,0.514,0.638,0.506,0.696,0.838,0.482,0.776,1172030.0,1472960.927483
28933,0.389,0.69,0.627,0.452,0.838,0.636,0.583,0.691,1.017,0.606,0.734,0.686,0.741,0.644,0.609,0.578,0.404,0.68,0.675,0.498,0.791,0.814,0.553,0.617,0.645,0.683,0.727,0.529,0.642,0.571,0.843,0.922,0.56,0.744,1368895.0,1770267.953914
28934,0.597,0.575,0.689,0.627,0.714,0.626,0.671,0.782,0.927,0.629,0.692,0.623,0.716,0.733,0.654,0.553,0.491,0.73,0.511,0.431,0.626,0.844,0.602,0.659,0.753,0.657,0.736,0.563,0.659,0.615,0.826,0.871,0.625,0.733,1273665.0,1613840.519763
28935,0.432,0.792,0.506,0.507,0.942,0.624,0.543,0.691,0.825,0.588,0.665,0.613,0.772,0.586,0.844,0.581,0.522,0.691,0.616,0.454,0.617,0.832,0.525,0.565,0.725,0.676,0.702,0.516,0.606,0.518,0.769,0.617,0.36,0.709,1260674.0,1592930.779642
28936,0.477,0.777,0.609,0.52,0.887,0.593,0.603,0.72,0.899,0.618,0.682,0.641,0.689,0.704,0.738,0.582,0.665,0.859,0.803,0.428,0.687,0.765,0.636,0.666,0.759,0.783,0.784,0.538,0.628,0.596,0.739,0.889,0.399,0.927,1202562.0,1519679.194887
28937,0.45,0.835,0.548,0.505,0.68,0.622,0.611,0.784,0.845,0.641,0.799,0.639,0.738,0.739,0.75,0.545,0.449,0.733,0.501,0.391,0.66,0.725,0.564,0.552,0.833,0.604,0.619,0.521,0.649,0.622,0.783,0.615,0.432,0.8,1136180.0,1500904.072732
28938,0.407,0.835,0.511,0.493,0.99,0.635,0.567,0.692,0.898,0.605,0.69,0.576,0.795,0.642,0.831,0.506,0.451,0.726,0.598,0.386,0.63,0.809,0.548,0.558,0.846,0.667,0.635,0.505,0.637,0.622,0.699,0.909,0.498,0.818,1347957.0,1631883.090896
28939,0.404,0.541,0.461,0.511,0.672,0.648,0.506,0.755,0.881,0.515,0.728,0.65,0.698,0.647,0.645,0.46,0.414,0.716,0.525,0.448,0.62,0.732,0.47,0.54,0.466,0.575,0.572,0.459,0.566,0.497,0.762,0.516,0.345,0.734,1258244.0,1571463.835762
28940,0.391,0.822,0.379,0.535,0.98,0.575,0.52,0.72,0.995,0.555,0.702,0.639,0.647,0.648,0.704,0.489,0.455,0.669,0.481,0.501,0.577,0.743,0.539,0.551,0.597,0.604,0.634,0.572,0.589,0.516,0.635,1.046,0.442,0.722,1264821.0,1540614.96173
28941,0.432,0.863,0.522,0.475,0.69,0.604,0.567,0.743,0.819,0.535,0.76,0.639,0.655,0.606,0.738,0.514,0.433,0.713,0.598,0.515,0.731,0.873,0.539,0.531,0.666,0.674,0.627,0.495,0.557,0.578,0.66,0.912,0.448,0.734,1372014.0,1697204.235378
28942,0.501,0.818,0.537,0.444,1.082,0.657,0.464,0.666,0.84,0.499,0.672,0.527,0.692,0.618,0.694,0.433,0.439,0.642,0.57,0.493,0.719,0.687,0.594,0.446,0.745,0.661,0.63,0.411,0.677,0.489,0.701,0.809,0.484,0.675,1231237.0,1293808.119219
28943,0.389,0.858,0.507,0.642,0.777,0.624,0.571,0.668,0.906,0.557,0.646,0.685,0.755,0.637,0.622,0.59,0.463,0.802,0.56,0.472,0.702,0.826,0.511,0.592,0.561,0.648,0.709,0.579,0.587,0.555,0.924,0.696,0.362,0.722,1143750.0,1392762.937551
28944,0.602,1.04,0.498,0.489,0.753,0.731,0.579,0.71,0.969,0.565,0.777,0.62,0.658,0.693,0.9,0.578,0.501,0.765,0.66,0.556,0.765,0.947,0.52,0.627,0.815,0.674,0.712,0.55,0.632,0.59,0.686,1.015,0.365,0.829,1122929.0,1406969.889127
28945,0.349,0.988,0.477,0.459,0.862,0.52,0.528,0.651,0.839,0.44,0.658,0.552,0.654,0.678,0.669,0.517,0.474,0.62,0.504,0.505,0.587,0.709,0.494,0.532,0.761,0.613,0.649,0.446,0.516,0.487,0.582,0.577,0.367,0.84,1139726.0,1479621.403638
28946,0.435,0.901,0.595,0.465,0.601,0.605,0.582,0.64,0.839,0.521,0.611,0.614,0.697,0.633,0.769,0.524,0.526,0.647,0.534,0.494,0.661,0.852,0.539,0.584,0.643,0.619,0.607,0.476,0.55,0.522,0.745,0.632,0.326,0.688,1069657.0,1432724.10555
28947,0.417,0.825,0.552,0.574,0.743,0.633,0.513,0.711,0.977,0.492,0.667,0.582,0.707,0.675,0.667,0.474,0.441,0.802,0.544,0.516,0.672,0.829,0.558,0.574,0.849,0.637,0.654,0.492,0.64,0.525,0.626,0.901,0.357,0.726,1109740.0,1354971.352934
28948,0.488,0.673,0.586,0.515,0.95,0.613,0.607,0.713,0.933,0.583,0.787,0.632,0.755,0.634,0.628,0.52,0.564,0.632,0.582,0.468,0.667,0.824,0.59,0.577,0.856,0.665,0.748,0.5,0.638,0.512,0.574,0.799,0.525,0.799,1223123.0,1574539.129975
28949,0.384,0.869,0.552,0.552,1.024,0.561,0.525,0.646,0.903,0.531,0.688,0.603,0.713,0.632,0.725,0.535,0.53,0.73,0.624,0.573,0.677,0.791,0.575,0.511,0.842,0.595,0.639,0.454,0.622,0.523,0.596,0.707,0.397,0.789,1246186.0,1538903.760699
28950,0.436,0.86,0.54,0.547,0.665,0.601,0.592,0.683,0.89,0.53,0.693,0.617,0.799,0.718,0.751,0.611,0.488,0.833,0.658,0.433,0.729,0.952,0.583,0.606,0.88,0.707,0.653,0.55,0.62,0.558,0.619,0.6,0.483,0.794,1138677.0,1503501.083329
28951,0.444,1.004,0.484,0.501,0.875,0.698,0.619,0.791,0.883,0.654,0.772,0.706,0.786,0.738,0.6,0.517,0.619,0.834,0.617,0.404,0.68,0.86,0.555,0.619,0.769,0.72,0.68,0.526,0.715,0.605,0.852,0.91,0.494,0.741,1096650.0,1436334.027227
28952,0.374,0.722,0.476,0.584,0.895,0.76,0.549,0.769,0.899,0.623,0.755,0.669,0.839,0.69,0.76,0.682,0.572,0.766,0.574,0.455,0.678,0.851,0.539,0.589,0.646,0.57,0.626,0.596,0.74,0.532,0.541,1.01,0.365,0.661,971587.0,1100998.152266
28953,0.441,0.771,0.467,0.46,0.715,0.626,0.582,0.653,0.84,0.497,0.623,0.567,0.682,0.618,0.681,0.461,0.387,0.665,0.627,0.451,0.54,0.903,0.487,0.596,0.713,0.652,0.574,0.523,0.543,0.564,0.684,0.913,0.39,0.829,984968.0,1180913.563728
28954,0.333,0.662,0.462,0.555,0.707,0.608,0.502,0.648,0.834,0.528,0.684,0.586,0.683,0.558,0.67,0.491,0.43,0.617,0.556,0.457,0.582,0.632,0.506,0.518,0.629,0.577,0.597,0.474,0.536,0.473,0.771,0.473,0.56,0.917,1237368.0,1385536.876136
28955,0.492,0.655,0.41,0.508,0.837,0.539,0.559,0.695,0.891,0.534,0.751,0.589,0.856,0.726,0.683,0.521,0.52,0.676,0.688,0.531,0.651,0.902,0.513,0.536,0.771,0.627,0.632,0.437,0.591,0.492,0.679,0.596,0.445,0.774,1226666.0,1542380.339147
28956,0.463,0.799,0.534,0.477,0.714,0.595,0.538,0.705,0.894,0.533,0.772,0.701,0.726,0.572,0.751,0.619,0.507,0.791,0.623,0.415,0.643,0.839,0.537,0.573,0.726,0.671,0.632,0.486,0.607,0.521,0.726,0.711,0.397,0.801,1458117.0,1852323.861106
28957,0.523,0.704,0.462,0.55,0.985,0.582,0.505,0.709,0.783,0.553,0.808,0.569,0.791,0.66,0.746,0.444,0.518,0.892,0.523,0.429,0.707,0.778,0.528,0.603,0.653,0.668,0.59,0.53,0.612,0.55,0.747,1.127,0.394,0.736,1145757.0,1194413.598336
28958,0.458,0.965,0.431,0.468,0.896,0.618,0.5,0.707,0.955,0.505,0.654,0.647,0.66,0.683,0.724,0.463,0.459,0.569,0.556,0.494,0.673,0.88,0.511,0.477,0.784,0.734,0.697,0.473,0.591,0.481,0.715,0.763,0.347,0.83,1515259.0,1933749.847081
28960,0.371,0.867,0.556,0.549,0.94,0.61,0.516,0.673,0.983,0.509,0.834,0.626,0.641,0.639,0.762,0.607,0.49,0.785,0.582,0.538,0.733,0.882,0.518,0.63,0.833,0.659,0.642,0.523,0.627,0.598,0.684,0.762,0.505,0.767,1358127.0,1598213.336162
28961,0.481,0.858,0.489,0.506,0.749,0.569,0.557,0.729,0.896,0.515,0.781,0.644,0.765,0.686,0.639,0.478,0.471,0.787,0.577,0.555,0.731,0.831,0.497,0.528,0.772,0.64,0.604,0.545,0.503,0.574,0.752,0.619,0.392,0.736,1216282.0,1524085.834348
28962,0.521,0.896,0.507,0.611,0.671,0.657,0.579,0.831,0.908,0.572,0.727,0.728,0.764,0.668,0.524,0.577,0.486,0.876,0.629,0.451,0.727,0.794,0.61,0.621,0.702,0.673,0.642,0.538,0.616,0.598,0.714,0.562,0.449,0.892,1235556.0,1530776.612791
28963,0.57,0.818,0.532,0.558,0.952,0.608,0.629,0.775,0.924,0.633,0.819,0.763,0.794,0.704,0.864,0.508,0.581,0.836,0.593,0.588,0.683,0.814,0.524,0.636,0.859,0.726,0.725,0.564,0.729,0.557,0.625,0.858,0.6,0.872,1027138.0,1266209.322437
28964,0.388,0.793,0.567,0.552,0.781,0.564,0.568,0.719,0.876,0.473,0.652,0.654,0.68,0.628,0.68,0.526,0.509,0.709,0.587,0.44,0.769,0.828,0.732,0.569,0.72,0.613,0.642,0.525,0.63,0.55,0.801,0.692,0.456,0.722,1376146.0,1746402.772082
28965,0.598,0.861,0.781,0.655,0.91,0.763,0.811,0.728,0.923,0.675,0.899,0.63,0.866,0.857,0.866,0.587,0.725,0.919,0.83,0.509,0.69,0.987,0.679,0.793,0.981,0.838,0.882,0.761,0.807,0.722,0.745,0.907,0.532,0.905,1151536.0,1480820.846417
28966,0.34,0.807,0.523,0.556,0.679,0.595,0.554,0.729,0.998,0.538,0.683,0.597,0.579,0.633,0.698,0.459,0.43,0.569,0.496,0.496,0.624,0.876,0.465,0.528,0.763,0.576,0.605,0.471,0.697,0.559,0.606,0.868,0.322,0.731,1116589.0,1347434.422972
28967,0.52,0.948,0.446,0.522,0.869,0.595,0.53,0.663,0.853,0.522,0.684,0.61,0.758,0.634,0.686,0.59,0.456,0.658,0.502,0.492,0.548,0.803,0.563,0.508,0.838,0.647,0.623,0.449,0.642,0.542,0.719,0.764,0.371,0.68,1137068.0,1261051.347494
28968,0.391,0.81,0.518,0.596,0.777,0.626,0.518,0.636,1.05,0.523,0.643,0.684,0.742,0.594,0.684,0.559,0.521,0.66,0.561,0.552,0.667,0.834,0.496,0.561,0.73,0.633,0.675,0.528,0.624,0.562,0.714,0.686,0.488,0.744,1203716.0,1434464.149973
28969,0.439,0.736,0.453,0.506,0.765,0.609,0.583,0.754,0.917,0.567,0.779,0.602,0.711,0.589,0.807,0.571,0.515,0.682,0.555,0.494,0.648,0.892,0.458,0.518,0.481,0.643,0.608,0.493,0.554,0.54,0.841,0.764,0.401,0.745,1341317.0,1563089.355808
28970,0.344,0.799,0.512,0.547,0.658,0.619,0.527,0.704,0.917,0.536,0.641,0.668,0.705,0.663,0.769,0.614,0.429,0.548,0.552,0.528,0.735,0.831,0.54,0.58,0.658,0.619,0.682,0.562,0.634,0.57,0.647,0.51,0.488,0.751,1136224.0,1406257.979863
28971,0.461,0.9,0.562,0.55,0.745,0.6,0.599,0.722,0.906,0.532,0.745,0.672,0.795,0.618,0.786,0.568,0.487,0.774,0.596,0.513,0.693,0.966,0.564,0.592,0.78,0.68,0.678,0.512,0.631,0.535,0.726,0.552,0.359,0.802,1214655.0,1436572.540463
28972,0.346,0.689,0.403,0.46,0.846,0.62,0.486,0.671,0.938,0.517,0.667,0.617,0.634,0.675,0.617,0.43,0.423,0.629,0.477,0.516,0.579,0.781,0.473,0.519,0.778,0.595,0.574,0.422,0.583,0.47,0.729,0.785,0.377,0.692,1363373.0,1445869.070475
28973,0.382,0.782,0.464,0.486,1.17,0.575,0.532,0.753,0.822,0.555,0.632,0.599,0.674,0.622,0.673,0.569,0.409,0.711,0.541,0.523,0.505,0.817,0.651,0.583,0.676,0.624,0.567,0.514,0.533,0.529,0.612,0.96,0.422,0.761,1079876.0,1369901.509018
28974,0.411,0.729,0.579,0.549,0.856,0.632,0.521,0.7,0.929,0.549,0.791,0.617,0.694,0.625,0.72,0.522,0.563,0.742,0.673,0.576,0.614,0.763,0.594,0.614,0.673,0.72,0.708,0.571,0.696,0.599,0.881,1.213,0.464,0.751,1239020.0,1581481.356263
28975,0.481,0.933,0.484,0.595,0.97,0.698,0.542,0.694,1.035,0.585,0.684,0.67,0.792,0.627,0.638,0.552,0.422,0.67,0.659,0.562,0.667,0.835,0.55,0.589,0.792,0.63,0.614,0.516,0.603,0.59,0.67,0.861,0.547,0.678,1365903.0,1628637.731618
28976,0.424,0.94,0.586,0.529,0.823,0.645,0.523,0.706,0.757,0.607,0.744,0.581,0.709,0.691,0.92,0.523,0.465,0.684,0.639,0.496,0.675,0.741,0.579,0.571,0.684,0.669,0.641,0.528,0.608,0.526,0.758,0.824,0.463,0.752,1188434.0,1511088.481198
28977,0.382,0.774,0.493,0.546,0.839,0.642,0.502,0.652,0.93,0.606,0.648,0.667,0.708,0.646,0.842,0.565,0.461,0.64,0.624,0.556,0.626,0.848,0.564,0.594,0.721,0.632,0.651,0.527,0.572,0.56,0.663,0.658,0.421,0.834,1348864.0,1685571.366731
28978,0.514,0.706,0.642,0.65,0.9,0.73,0.598,0.726,0.912,0.582,0.797,0.635,0.716,0.675,0.574,0.493,0.461,0.68,0.781,0.529,0.804,0.901,0.629,0.6,0.899,0.673,0.722,0.605,0.664,0.672,0.798,0.974,0.411,0.788,1410100.0,1751692.59633
28979,0.417,0.851,0.465,0.485,0.864,0.578,0.522,0.785,0.798,0.545,0.747,0.675,0.691,0.703,0.708,0.549,0.5,0.625,0.619,0.531,0.696,0.891,0.489,0.522,0.684,0.625,0.649,0.542,0.64,0.541,0.484,0.755,0.488,0.758,1155047.0,1374901.02337
28980,0.421,0.723,0.641,0.427,0.847,0.68,0.552,0.619,0.915,0.54,0.814,0.599,0.596,0.636,0.96,0.493,0.512,0.702,0.669,0.387,0.619,0.808,0.548,0.546,0.702,0.677,0.701,0.507,0.659,0.567,0.834,0.609,0.483,0.806,1026386.0,1194264.16193
28981,0.407,0.936,0.57,0.441,0.806,0.602,0.607,0.747,0.935,0.603,0.711,0.617,0.72,0.732,0.721,0.526,0.483,0.817,0.691,0.435,0.729,0.756,0.558,0.627,0.78,0.686,0.7,0.582,0.621,0.576,0.654,0.64,0.448,0.796,1364873.0,1573988.172809
28982,0.408,0.957,0.485,0.525,0.69,0.636,0.576,0.734,0.915,0.599,0.679,0.625,0.61,0.622,0.54,0.522,0.543,0.799,0.585,0.43,0.692,0.894,0.548,0.573,0.761,0.628,0.653,0.504,0.677,0.586,0.759,0.664,0.438,0.8,1328983.0,1668972.138392
28983,0.503,0.647,0.473,0.61,1.069,0.587,0.617,0.634,0.87,0.605,0.618,0.612,0.769,0.604,0.81,0.559,0.497,0.697,0.498,0.545,0.718,0.887,0.483,0.565,0.707,0.619,0.643,0.53,0.594,0.569,0.65,1.127,0.521,0.901,1277605.0,1532343.755791
28984,0.4,0.657,0.478,0.557,0.701,0.638,0.554,0.677,0.901,0.502,0.808,0.722,0.743,0.588,0.802,0.474,0.511,0.721,0.511,0.511,0.642,0.862,0.488,0.583,0.684,0.697,0.665,0.494,0.62,0.542,0.875,0.57,0.415,0.678,1292514.0,1638770.284467
28985,0.391,0.767,0.457,0.558,0.661,0.613,0.498,0.726,0.852,0.558,0.77,0.591,0.624,0.635,0.742,0.584,0.41,0.667,0.565,0.506,0.605,0.752,0.562,0.534,0.584,0.678,0.66,0.466,0.625,0.554,0.819,0.963,0.353,0.687,1210539.0,1533896.545571
28986,0.484,0.781,0.454,0.402,1.061,0.568,0.507,0.698,0.836,0.525,0.744,0.594,0.687,0.654,0.685,0.536,0.471,0.689,0.492,0.426,0.668,0.809,0.58,0.558,0.697,0.618,0.638,0.473,0.698,0.576,0.58,1.091,0.385,0.707,1435366.0,1754913.975327
28987,0.411,0.662,0.543,0.522,0.931,0.641,0.59,0.738,0.755,0.528,0.818,0.646,0.714,0.62,0.712,0.528,0.523,0.626,0.618,0.448,0.581,0.699,0.647,0.521,0.808,0.628,0.598,0.476,0.652,0.566,0.724,0.631,0.404,0.786,1128623.0,1314934.348739
28988,0.393,0.751,0.408,0.5,0.841,0.575,0.576,0.751,0.863,0.484,0.683,0.649,0.789,0.647,0.772,0.554,0.49,0.882,0.608,0.46,0.554,0.765,0.539,0.568,0.94,0.668,0.629,0.479,0.558,0.612,0.72,1.008,0.433,0.849,1084090.0,1279518.892279
28989,0.428,0.714,0.576,0.511,1.109,0.521,0.564,0.731,0.811,0.555,0.7,0.583,0.658,0.608,0.717,0.521,0.571,0.633,0.673,0.484,0.594,0.829,0.537,0.452,0.565,0.618,0.662,0.479,0.527,0.549,0.727,0.742,0.478,0.77,1285635.0,1635617.81556
28990,0.433,0.887,0.466,0.511,0.684,0.531,0.51,0.64,0.915,0.547,0.705,0.632,0.694,0.628,0.67,0.613,0.439,0.753,0.539,0.476,0.605,0.752,0.544,0.518,0.782,0.549,0.635,0.498,0.571,0.484,0.675,0.546,0.434,0.716,1302038.0,1525557.550479
28991,0.446,0.768,0.401,0.575,0.725,0.583,0.46,0.647,0.737,0.603,0.87,0.594,0.818,0.579,0.846,0.516,0.437,0.546,0.529,0.532,0.686,0.764,0.56,0.54,0.866,0.571,0.579,0.466,0.597,0.536,0.594,0.522,0.368,0.716,1176447.0,1427470.477673
28992,0.382,0.781,0.472,0.483,0.892,0.561,0.557,0.624,0.794,0.492,0.672,0.583,0.689,0.622,0.68,0.49,0.49,0.641,0.484,0.479,0.579,0.811,0.622,0.539,0.461,0.618,0.576,0.468,0.62,0.52,0.918,0.551,0.342,0.704,1250187.0,1626125.152563
28993,0.331,0.772,0.527,0.588,0.771,0.627,0.531,0.7,0.923,0.615,0.631,0.627,0.648,0.632,0.755,0.47,0.518,0.65,0.601,0.538,0.644,0.747,0.481,0.606,0.724,0.615,0.656,0.533,0.565,0.548,0.827,0.612,0.51,0.847,1327024.0,1625408.649954
28994,0.397,0.648,0.493,0.531,0.661,0.592,0.55,0.739,0.823,0.563,0.647,0.587,0.783,0.66,0.696,0.593,0.406,0.721,0.594,0.359,0.692,0.752,0.516,0.617,0.733,0.68,0.647,0.532,0.551,0.505,0.755,0.746,0.432,0.77,1104655.0,1303831.877273
28995,0.503,0.858,0.575,0.595,0.994,0.645,0.609,0.766,1.033,0.681,0.842,0.822,0.699,0.719,0.688,0.524,0.616,0.886,0.678,0.552,0.796,0.884,0.657,0.617,0.653,0.697,0.803,0.596,0.72,0.663,0.704,0.973,0.839,1.028,1680499.0,1916718.24352
28996,0.478,0.824,0.564,0.539,0.767,0.654,0.581,0.748,0.993,0.569,0.721,0.727,0.667,0.689,0.727,0.61,0.433,0.705,0.603,0.479,0.687,0.81,0.553,0.619,0.817,0.718,0.68,0.554,0.627,0.571,0.716,0.67,0.355,0.731,1401319.0,1728609.155492
28997,0.423,0.638,0.545,0.499,0.668,0.708,0.611,0.781,0.815,0.588,0.686,0.625,0.74,0.65,0.602,0.5,0.504,0.611,0.639,0.517,0.704,0.733,0.548,0.596,0.618,0.652,0.603,0.506,0.628,0.598,0.658,0.646,0.382,0.805,1059120.0,1164829.261593
28998,0.369,0.742,0.597,0.567,0.829,0.617,0.578,0.618,0.953,0.537,0.767,0.65,0.72,0.633,0.59,0.539,0.553,0.646,0.556,0.514,0.676,0.895,0.531,0.578,0.662,0.653,0.664,0.517,0.638,0.514,0.718,0.784,0.489,0.692,1314031.0,1662963.347257
28999,0.487,0.884,0.587,0.568,0.758,0.63,0.567,0.64,0.971,0.58,0.733,0.709,0.811,0.668,0.673,0.513,0.505,0.719,0.608,0.575,0.73,0.915,0.515,0.585,0.756,0.495,0.779,0.483,0.594,0.539,0.52,0.76,0.37,0.749,1325300.0,1363859.676675
29000,0.448,0.761,0.507,0.498,0.781,0.609,0.547,0.687,0.951,0.526,0.648,0.642,0.724,0.663,0.673,0.491,0.481,0.701,0.561,0.458,0.654,0.617,0.561,0.539,0.63,0.704,0.68,0.514,0.583,0.597,0.686,0.525,0.378,0.858,1113949.0,1347498.974976
29001,0.485,0.784,0.5,0.513,0.881,0.62,0.54,0.715,0.983,0.523,0.645,0.646,0.735,0.634,0.709,0.578,0.46,0.694,0.583,0.357,0.586,0.801,0.485,0.575,0.61,0.612,0.609,0.499,0.568,0.544,0.724,1.036,0.356,0.652,1305399.0,1566503.041045
29002,0.487,0.904,0.554,0.47,0.812,0.722,0.612,0.701,0.922,0.55,0.754,0.669,0.71,0.707,0.669,0.55,0.483,0.788,0.664,0.454,0.732,0.904,0.607,0.572,0.73,0.72,0.733,0.53,0.627,0.554,0.818,0.97,0.522,0.735,1384132.0,1856677.67097
29003,0.427,0.795,0.523,0.553,0.722,0.558,0.533,0.641,0.89,0.612,0.699,0.665,0.629,0.635,0.777,0.476,0.476,0.629,0.504,0.453,0.688,0.854,0.533,0.561,0.558,0.603,0.615,0.508,0.566,0.568,0.697,0.878,0.411,0.697,1306905.0,1633910.849063
29004,0.451,0.909,0.567,0.465,0.632,0.71,0.627,0.735,0.9,0.535,0.712,0.591,0.752,0.703,0.687,0.68,0.515,0.71,0.574,0.516,0.602,0.795,0.528,0.522,0.71,0.672,0.686,0.481,0.557,0.526,0.788,0.784,0.395,0.762,1076075.0,1294710.56291
29005,0.373,0.806,0.516,0.564,0.734,0.517,0.524,0.645,0.993,0.546,0.656,0.652,0.664,0.647,0.742,0.538,0.477,0.651,0.525,0.494,0.688,0.729,0.48,0.605,0.634,0.663,0.631,0.493,0.546,0.525,0.795,0.947,0.303,0.756,1244694.0,1506660.859823
29006,0.415,0.777,0.467,0.41,0.82,0.692,0.522,0.696,0.74,0.533,0.705,0.573,0.612,0.575,0.624,0.519,0.466,0.715,0.525,0.453,0.595,0.704,0.567,0.522,0.644,0.579,0.57,0.517,0.658,0.582,0.631,0.559,0.421,0.912,1244579.0,1792077.718501
29007,0.506,0.723,0.572,0.396,0.843,0.748,0.585,0.725,0.871,0.555,0.661,0.584,0.618,0.622,0.914,0.617,0.438,0.733,0.501,0.325,0.685,0.641,0.626,0.632,0.756,0.595,0.638,0.516,0.648,0.609,0.509,0.68,0.563,0.78,1390783.0,1794442.636765
29008,0.46,0.45,0.464,0.551,0.646,0.666,0.567,0.633,0.653,0.473,0.61,0.681,0.597,0.605,0.959,0.483,0.503,0.688,0.453,0.441,0.604,0.776,0.622,0.508,0.598,0.564,0.55,0.477,0.584,0.604,0.566,0.665,0.516,0.781,1108014.0,1176688.714162
29009,0.45,0.622,0.551,0.545,0.863,0.629,0.556,0.727,0.86,0.609,0.842,0.639,0.641,0.662,0.878,0.571,0.468,0.899,0.542,0.371,0.67,0.813,0.628,0.594,0.564,0.568,0.672,0.547,0.718,0.565,0.713,0.714,0.456,0.743,1127701.0,1467596.034111
29010,0.458,0.712,0.578,0.417,0.725,0.596,0.56,0.782,0.967,0.535,0.654,0.655,0.834,0.682,0.567,0.505,0.562,0.757,0.587,0.319,0.663,0.737,0.612,0.651,0.699,0.602,0.679,0.557,0.688,0.59,0.711,0.723,0.597,0.71,1178490.0,1471048.427561
29011,0.41,0.451,0.481,0.372,0.824,0.64,0.507,0.722,0.945,0.528,0.638,0.688,0.683,0.628,0.782,0.556,0.457,0.593,0.545,0.415,0.598,0.784,0.583,0.574,0.594,0.552,0.578,0.498,0.649,0.505,0.691,0.809,0.474,0.809,1236499.0,1703879.627109
29012,0.412,0.714,0.502,0.358,0.635,0.645,0.54,0.675,0.654,0.494,0.683,0.551,0.735,0.603,0.861,0.58,0.478,0.685,0.461,0.394,0.645,0.926,0.551,0.588,0.547,0.618,0.614,0.483,0.598,0.562,0.601,0.568,0.49,0.806,1035025.0,1381119.847967
29013,0.42,0.698,0.492,0.423,0.781,0.6,0.517,0.575,0.681,0.489,0.655,0.533,0.625,0.607,0.67,0.484,0.438,0.698,0.542,0.326,0.617,0.765,0.61,0.517,0.595,0.55,0.576,0.48,0.647,0.564,0.597,0.544,0.529,0.836,1315492.0,1513725.373228
29014,0.419,0.643,0.548,0.406,0.75,0.683,0.56,0.796,0.671,0.592,0.862,0.583,0.63,0.678,0.869,0.54,0.465,0.667,0.524,0.474,0.672,0.539,0.681,0.577,0.74,0.549,0.598,0.521,0.612,0.592,0.51,0.72,0.47,0.808,1131806.0,1622264.813454
29015,0.473,0.676,0.558,0.565,0.722,0.674,0.55,0.67,0.918,0.534,0.685,0.611,0.652,0.701,0.683,0.491,0.499,0.81,0.544,0.28,0.603,0.637,0.603,0.57,0.66,0.549,0.619,0.585,0.629,0.603,0.506,0.776,0.477,0.761,1059313.0,1139033.777731
