rh.aparc.gauscurv,rh_bankssts_gauscurv,rh_caudalanteriorcingulate_gauscurv,rh_caudalmiddlefrontal_gauscurv,rh_cuneus_gauscurv,rh_entorhinal_gauscurv,rh_fusiform_gauscurv,rh_inferiorparietal_gauscurv,rh_inferiortemporal_gauscurv,rh_isthmuscingulate_gauscurv,rh_lateraloccipital_gauscurv,rh_lateralorbitofrontal_gauscurv,rh_lingual_gauscurv,rh_medialorbitofrontal_gauscurv,rh_middletemporal_gauscurv,rh_parahippocampal_gauscurv,rh_paracentral_gauscurv,rh_parsopercularis_gauscurv,rh_parsorbitalis_gauscurv,rh_parstriangularis_gauscurv,rh_pericalcarine_gauscurv,rh_postcentral_gauscurv,rh_posteriorcingulate_gauscurv,rh_precentral_gauscurv,rh_precuneus_gauscurv,rh_rostralanteriorcingulate_gauscurv,rh_rostralmiddlefrontal_gauscurv,rh_superiorfrontal_gauscurv,rh_superiorparietal_gauscurv,rh_superiortemporal_gauscurv,rh_supramarginal_gauscurv,rh_frontalpole_gauscurv,rh_temporalpole_gauscurv,rh_transversetemporal_gauscurv,rh_insula_gauscurv,BrainSegVolNotVent,eTIV
28942,0.019,0.023,0.023,0.034,0.039,0.025,0.022,0.025,0.026,0.03,0.037,0.03,0.031,0.023,0.018,0.023,0.025,0.037,0.023,0.034,0.022,0.024,0.023,0.023,0.027,0.034,0.026,0.026,0.021,0.021,0.056,0.027,0.03,0.025,1231237.0,1293808.119219
28943,0.017,0.026,0.022,0.029,0.033,0.026,0.026,0.021,0.027,0.03,0.031,0.032,0.037,0.023,0.029,0.018,0.023,0.033,0.024,0.028,0.019,0.023,0.019,0.021,0.024,0.029,0.023,0.024,0.017,0.019,0.051,0.032,0.025,0.023,1143750.0,1392762.937551
28944,0.017,0.024,0.019,0.026,0.031,0.03,0.028,0.033,0.027,0.031,0.033,0.029,0.025,0.023,0.016,0.016,0.019,0.026,0.027,0.032,0.02,0.025,0.017,0.023,0.028,0.034,0.025,0.022,0.018,0.029,0.063,0.048,0.019,0.027,1122929.0,1406969.889127
28945,0.017,0.026,0.022,0.035,0.033,0.03,0.024,0.036,0.028,0.03,0.034,0.032,0.038,0.027,0.022,0.022,0.022,0.032,0.026,0.027,0.022,0.03,0.02,0.025,0.034,0.035,0.028,0.025,0.02,0.024,0.065,0.038,0.028,0.031,1139726.0,1479621.403638
28946,0.017,0.021,0.02,0.036,0.021,0.025,0.027,0.028,0.029,0.031,0.032,0.037,0.034,0.024,0.019,0.019,0.026,0.041,0.023,0.027,0.022,0.026,0.022,0.026,0.027,0.034,0.026,0.024,0.017,0.024,0.053,0.032,0.022,0.027,1069657.0,1432724.10555
28947,0.017,0.018,0.021,0.032,0.037,0.029,0.023,0.027,0.029,0.028,0.035,0.03,0.035,0.024,0.018,0.023,0.026,0.037,0.027,0.033,0.021,0.027,0.021,0.026,0.031,0.033,0.027,0.025,0.018,0.023,0.043,0.047,0.027,0.027,1109740.0,1354971.352934
28948,0.019,0.019,0.023,0.041,0.054,0.028,0.026,0.03,0.029,0.031,0.036,0.036,0.031,0.027,0.025,0.023,0.022,0.035,0.024,0.033,0.026,0.029,0.023,0.027,0.021,0.03,0.028,0.028,0.02,0.023,0.099,0.051,0.03,0.027,1223123.0,1574539.129975
28949,0.025,0.016,0.025,0.035,0.055,0.027,0.023,0.031,0.032,0.032,0.032,0.045,0.036,0.026,0.025,0.022,0.024,0.03,0.026,0.043,0.026,0.025,0.021,0.025,0.034,0.031,0.029,0.024,0.024,0.026,0.043,0.044,0.033,0.029,1246186.0,1538903.760699
28950,0.018,0.02,0.024,0.03,0.04,0.03,0.027,0.03,0.025,0.028,0.032,0.033,0.035,0.027,0.016,0.018,0.022,0.037,0.028,0.035,0.022,0.021,0.025,0.024,0.031,0.038,0.026,0.026,0.02,0.022,0.047,0.033,0.021,0.022,1138677.0,1503501.083329
28951,0.016,0.023,0.023,0.036,0.058,0.034,0.028,0.038,0.037,0.039,0.042,0.039,0.047,0.034,0.031,0.025,0.027,0.053,0.033,0.026,0.026,0.03,0.026,0.031,0.042,0.036,0.033,0.032,0.025,0.028,0.057,0.056,0.025,0.031,1096650.0,1436334.027227
28952,0.016,0.022,0.023,0.037,0.031,0.036,0.024,0.028,0.02,0.031,0.033,0.031,0.036,0.024,0.031,0.022,0.023,0.031,0.024,0.031,0.023,0.026,0.022,0.023,0.033,0.032,0.028,0.027,0.02,0.025,0.062,0.041,0.026,0.023,971587.0,1100998.152266
28953,0.019,0.025,0.025,0.039,0.041,0.036,0.025,0.035,0.027,0.039,0.039,0.042,0.036,0.027,0.03,0.024,0.023,0.046,0.031,0.032,0.02,0.029,0.023,0.026,0.032,0.034,0.029,0.023,0.021,0.027,0.053,0.044,0.033,0.032,984968.0,1180913.563728
28954,0.016,0.018,0.019,0.032,0.017,0.026,0.022,0.027,0.028,0.031,0.026,0.036,0.029,0.02,0.017,0.018,0.02,0.029,0.019,0.032,0.019,0.023,0.018,0.022,0.023,0.028,0.022,0.023,0.018,0.023,0.045,0.025,0.035,0.032,1237368.0,1385536.876136
28955,0.019,0.019,0.02,0.03,0.028,0.024,0.025,0.025,0.024,0.03,0.03,0.033,0.03,0.02,0.016,0.018,0.021,0.022,0.024,0.028,0.019,0.024,0.018,0.021,0.022,0.028,0.025,0.022,0.017,0.024,0.049,0.027,0.024,0.033,1226666.0,1542380.339147
28956,0.012,0.02,0.021,0.032,0.035,0.02,0.024,0.024,0.028,0.026,0.028,0.028,0.032,0.02,0.014,0.019,0.019,0.032,0.023,0.023,0.019,0.024,0.019,0.022,0.034,0.029,0.026,0.023,0.017,0.022,0.043,0.03,0.023,0.029,1458117.0,1852323.861106
28957,0.016,0.02,0.02,0.035,0.05,0.032,0.026,0.029,0.024,0.03,0.032,0.034,0.034,0.023,0.019,0.02,0.022,0.027,0.021,0.029,0.02,0.025,0.019,0.023,0.03,0.031,0.027,0.022,0.016,0.022,0.041,0.037,0.019,0.026,1145757.0,1194413.598336
28958,0.014,0.017,0.019,0.028,0.043,0.021,0.023,0.023,0.028,0.029,0.027,0.031,0.026,0.022,0.021,0.016,0.021,0.029,0.023,0.033,0.017,0.023,0.017,0.022,0.027,0.025,0.024,0.019,0.017,0.018,0.036,0.035,0.033,0.03,1515259.0,1933749.847081
28960,0.018,0.019,0.022,0.03,0.04,0.031,0.024,0.027,0.031,0.029,0.034,0.033,0.027,0.024,0.02,0.02,0.021,0.029,0.025,0.029,0.021,0.024,0.022,0.025,0.033,0.031,0.027,0.024,0.018,0.023,0.063,0.048,0.031,0.026,1358127.0,1598213.336162
28961,0.018,0.021,0.02,0.033,0.022,0.024,0.027,0.03,0.025,0.031,0.03,0.034,0.029,0.025,0.014,0.02,0.026,0.036,0.023,0.034,0.023,0.022,0.021,0.026,0.032,0.037,0.025,0.024,0.018,0.024,0.057,0.037,0.015,0.023,1216282.0,1524085.834348
28962,0.013,0.02,0.018,0.04,0.034,0.029,0.026,0.03,0.026,0.029,0.03,0.038,0.033,0.027,0.017,0.024,0.023,0.037,0.026,0.034,0.023,0.022,0.023,0.024,0.04,0.028,0.028,0.027,0.018,0.029,0.05,0.049,0.027,0.027,1235556.0,1530776.612791
28963,0.017,0.02,0.025,0.035,0.058,0.033,0.033,0.046,0.028,0.038,0.035,0.044,0.037,0.03,0.017,0.022,0.024,0.046,0.033,0.038,0.026,0.026,0.024,0.031,0.028,0.038,0.03,0.029,0.027,0.035,0.061,0.077,0.03,0.032,1027138.0,1266209.322437
28964,0.019,0.022,0.026,0.035,0.024,0.03,0.028,0.029,0.025,0.032,0.033,0.038,0.031,0.025,0.021,0.026,0.021,0.024,0.027,0.032,0.023,0.031,0.026,0.024,0.034,0.033,0.028,0.025,0.017,0.024,0.054,0.032,0.026,0.032,1376146.0,1746402.772082
28965,0.021,0.03,0.046,0.054,0.062,0.043,0.044,0.046,0.03,0.047,0.057,0.044,0.052,0.036,0.036,0.039,0.032,0.062,0.036,0.034,0.039,0.031,0.036,0.041,0.045,0.062,0.05,0.05,0.036,0.035,0.079,0.065,0.025,0.037,1151536.0,1480820.846417
28966,0.011,0.026,0.021,0.035,0.025,0.025,0.027,0.032,0.027,0.031,0.035,0.04,0.03,0.024,0.026,0.02,0.023,0.031,0.021,0.024,0.022,0.026,0.018,0.023,0.031,0.029,0.028,0.025,0.02,0.023,0.044,0.031,0.02,0.027,1116589.0,1347434.422972
28967,0.017,0.022,0.019,0.037,0.037,0.032,0.023,0.028,0.029,0.035,0.036,0.037,0.039,0.024,0.017,0.02,0.021,0.037,0.024,0.03,0.02,0.027,0.021,0.025,0.026,0.03,0.027,0.024,0.02,0.026,0.034,0.047,0.023,0.033,1137068.0,1261051.347494
28968,0.014,0.018,0.024,0.038,0.03,0.029,0.023,0.025,0.025,0.031,0.034,0.036,0.029,0.025,0.019,0.021,0.022,0.028,0.028,0.035,0.02,0.019,0.024,0.026,0.023,0.031,0.027,0.022,0.018,0.025,0.035,0.027,0.025,0.024,1203716.0,1434464.149973
28969,0.017,0.019,0.024,0.033,0.025,0.027,0.023,0.027,0.027,0.033,0.036,0.039,0.027,0.023,0.017,0.025,0.02,0.033,0.028,0.031,0.02,0.027,0.018,0.026,0.027,0.03,0.027,0.024,0.018,0.028,0.065,0.032,0.025,0.03,1341317.0,1563089.355808
28970,0.015,0.018,0.022,0.031,0.018,0.022,0.023,0.028,0.024,0.029,0.032,0.031,0.028,0.021,0.02,0.019,0.019,0.025,0.023,0.031,0.019,0.025,0.017,0.02,0.026,0.027,0.023,0.021,0.018,0.021,0.043,0.03,0.019,0.022,1136224.0,1406257.979863
28971,0.012,0.022,0.022,0.032,0.036,0.025,0.022,0.025,0.024,0.026,0.029,0.028,0.029,0.02,0.018,0.018,0.019,0.031,0.02,0.025,0.017,0.024,0.018,0.025,0.02,0.027,0.025,0.02,0.013,0.021,0.031,0.032,0.021,0.027,1214655.0,1436572.540463
28972,0.017,0.017,0.022,0.03,0.027,0.025,0.021,0.027,0.024,0.03,0.03,0.036,0.028,0.024,0.012,0.019,0.021,0.032,0.022,0.03,0.018,0.023,0.019,0.024,0.033,0.027,0.024,0.02,0.017,0.021,0.045,0.03,0.02,0.025,1363373.0,1445869.070475
28973,0.02,0.026,0.019,0.037,0.04,0.027,0.027,0.029,0.028,0.032,0.036,0.034,0.036,0.028,0.028,0.024,0.027,0.033,0.021,0.028,0.024,0.028,0.021,0.026,0.028,0.032,0.024,0.025,0.02,0.026,0.04,0.039,0.017,0.031,1079876.0,1369901.509018
28974,0.014,0.021,0.022,0.046,0.042,0.031,0.025,0.034,0.027,0.031,0.036,0.032,0.04,0.024,0.028,0.025,0.023,0.039,0.026,0.039,0.024,0.029,0.023,0.028,0.026,0.03,0.031,0.029,0.021,0.027,0.056,0.042,0.029,0.025,1239020.0,1581481.356263
28975,0.018,0.02,0.021,0.035,0.053,0.027,0.025,0.031,0.027,0.03,0.032,0.04,0.034,0.025,0.022,0.025,0.021,0.032,0.028,0.031,0.02,0.028,0.019,0.021,0.025,0.029,0.025,0.024,0.02,0.025,0.046,0.037,0.034,0.024,1365903.0,1628637.731618
28976,0.016,0.02,0.023,0.035,0.025,0.025,0.023,0.029,0.033,0.028,0.031,0.032,0.029,0.023,0.02,0.02,0.02,0.032,0.024,0.028,0.021,0.027,0.02,0.024,0.021,0.034,0.025,0.025,0.02,0.023,0.046,0.032,0.025,0.025,1188434.0,1511088.481198
28977,0.016,0.021,0.022,0.03,0.029,0.029,0.025,0.022,0.02,0.029,0.027,0.03,0.026,0.025,0.019,0.019,0.027,0.034,0.021,0.027,0.019,0.02,0.019,0.025,0.03,0.032,0.024,0.025,0.017,0.025,0.034,0.035,0.031,0.03,1348864.0,1685571.366731
28978,0.016,0.016,0.025,0.032,0.034,0.031,0.025,0.032,0.029,0.029,0.034,0.032,0.035,0.027,0.016,0.025,0.023,0.033,0.025,0.037,0.024,0.028,0.024,0.027,0.024,0.035,0.028,0.029,0.021,0.026,0.051,0.038,0.019,0.027,1410100.0,1751692.59633
28979,0.015,0.018,0.019,0.029,0.04,0.025,0.019,0.032,0.025,0.03,0.032,0.028,0.038,0.021,0.019,0.018,0.021,0.02,0.023,0.025,0.018,0.023,0.017,0.023,0.017,0.028,0.026,0.019,0.021,0.023,0.055,0.04,0.024,0.028,1155047.0,1374901.02337
28980,0.011,0.018,0.022,0.03,0.036,0.033,0.023,0.027,0.025,0.03,0.029,0.033,0.031,0.025,0.026,0.018,0.023,0.033,0.022,0.024,0.02,0.024,0.02,0.026,0.028,0.03,0.027,0.022,0.018,0.021,0.035,0.036,0.023,0.029,1026386.0,1194264.16193
28981,0.015,0.021,0.02,0.032,0.034,0.025,0.024,0.029,0.03,0.028,0.027,0.033,0.028,0.025,0.02,0.025,0.025,0.031,0.023,0.03,0.02,0.025,0.021,0.022,0.028,0.033,0.029,0.025,0.019,0.022,0.048,0.041,0.021,0.029,1364873.0,1573988.172809
28982,0.016,0.022,0.02,0.032,0.039,0.023,0.03,0.029,0.03,0.035,0.027,0.04,0.032,0.027,0.022,0.022,0.027,0.026,0.027,0.037,0.022,0.026,0.021,0.027,0.03,0.031,0.026,0.024,0.018,0.027,0.044,0.029,0.029,0.034,1328983.0,1668972.138392
28983,0.019,0.024,0.019,0.035,0.059,0.027,0.027,0.029,0.024,0.03,0.03,0.035,0.033,0.026,0.021,0.022,0.02,0.028,0.024,0.03,0.023,0.03,0.018,0.024,0.027,0.03,0.028,0.024,0.02,0.024,0.049,0.054,0.035,0.032,1277605.0,1532343.755791
28984,0.018,0.025,0.021,0.041,0.025,0.029,0.025,0.027,0.029,0.029,0.035,0.034,0.038,0.022,0.019,0.018,0.021,0.027,0.026,0.028,0.023,0.024,0.021,0.026,0.033,0.028,0.025,0.024,0.018,0.021,0.052,0.04,0.028,0.028,1292514.0,1638770.284467
28985,0.014,0.017,0.02,0.032,0.019,0.027,0.021,0.03,0.026,0.028,0.032,0.032,0.038,0.022,0.015,0.02,0.023,0.035,0.022,0.025,0.018,0.029,0.018,0.025,0.036,0.027,0.028,0.019,0.018,0.021,0.056,0.042,0.018,0.025,1210539.0,1533896.545571
28986,0.015,0.023,0.018,0.029,0.045,0.022,0.021,0.022,0.026,0.027,0.033,0.031,0.03,0.023,0.015,0.02,0.016,0.03,0.02,0.031,0.02,0.024,0.018,0.021,0.028,0.029,0.023,0.021,0.015,0.019,0.042,0.053,0.014,0.023,1435366.0,1754913.975327
28987,0.017,0.028,0.024,0.034,0.046,0.03,0.023,0.029,0.026,0.033,0.031,0.032,0.033,0.025,0.023,0.021,0.023,0.03,0.019,0.033,0.023,0.03,0.021,0.021,0.031,0.028,0.025,0.022,0.02,0.024,0.037,0.039,0.019,0.032,1128623.0,1314934.348739
28988,0.013,0.021,0.019,0.037,0.037,0.023,0.026,0.029,0.026,0.028,0.035,0.036,0.035,0.023,0.021,0.026,0.02,0.032,0.028,0.039,0.023,0.032,0.021,0.022,0.025,0.028,0.023,0.025,0.02,0.024,0.054,0.041,0.025,0.03,1084090.0,1279518.892279
28989,0.018,0.02,0.023,0.04,0.055,0.027,0.026,0.035,0.027,0.029,0.034,0.035,0.024,0.026,0.028,0.023,0.024,0.044,0.033,0.03,0.022,0.029,0.022,0.027,0.03,0.032,0.029,0.026,0.018,0.026,0.05,0.043,0.023,0.025,1285635.0,1635617.81556
28990,0.021,0.022,0.019,0.035,0.024,0.024,0.027,0.027,0.028,0.031,0.031,0.031,0.029,0.021,0.018,0.023,0.022,0.041,0.025,0.042,0.023,0.025,0.02,0.023,0.029,0.033,0.024,0.025,0.017,0.022,0.05,0.039,0.021,0.031,1302038.0,1525557.550479
28991,0.012,0.022,0.017,0.033,0.022,0.026,0.024,0.026,0.021,0.033,0.028,0.031,0.026,0.023,0.021,0.017,0.019,0.025,0.025,0.031,0.02,0.02,0.019,0.02,0.02,0.026,0.022,0.023,0.017,0.025,0.037,0.023,0.02,0.027,1176447.0,1427470.477673
28992,0.013,0.017,0.019,0.032,0.04,0.028,0.024,0.025,0.032,0.031,0.03,0.034,0.024,0.024,0.021,0.018,0.02,0.033,0.025,0.03,0.017,0.026,0.019,0.022,0.024,0.029,0.022,0.023,0.018,0.022,0.048,0.035,0.024,0.026,1250187.0,1626125.152563
28993,0.017,0.016,0.02,0.029,0.02,0.024,0.023,0.024,0.024,0.026,0.027,0.026,0.027,0.02,0.015,0.018,0.018,0.029,0.022,0.025,0.019,0.023,0.017,0.022,0.021,0.026,0.023,0.021,0.016,0.021,0.05,0.033,0.019,0.023,1327024.0,1625408.649954
28994,0.014,0.026,0.024,0.037,0.026,0.03,0.027,0.034,0.032,0.029,0.027,0.029,0.035,0.023,0.018,0.019,0.02,0.028,0.023,0.029,0.022,0.026,0.02,0.026,0.043,0.042,0.028,0.024,0.018,0.023,0.055,0.038,0.033,0.025,1104655.0,1303831.877273
28995,0.019,0.016,0.024,0.031,0.038,0.024,0.026,0.024,0.028,0.033,0.03,0.03,0.025,0.022,0.017,0.018,0.025,0.042,0.022,0.031,0.021,0.022,0.022,0.024,0.026,0.026,0.026,0.023,0.02,0.026,0.041,0.039,0.029,0.03,1680499.0,1916718.24352
28996,0.018,0.024,0.023,0.04,0.028,0.03,0.028,0.036,0.028,0.03,0.034,0.036,0.029,0.027,0.028,0.021,0.02,0.033,0.025,0.028,0.022,0.024,0.021,0.026,0.031,0.03,0.029,0.026,0.022,0.024,0.047,0.04,0.028,0.027,1401319.0,1728609.155492
28997,0.013,0.023,0.019,0.031,0.024,0.026,0.023,0.024,0.023,0.033,0.028,0.032,0.032,0.024,0.014,0.019,0.023,0.031,0.024,0.027,0.019,0.026,0.02,0.025,0.033,0.029,0.026,0.022,0.016,0.021,0.049,0.045,0.02,0.026,1059120.0,1164829.261593
28998,0.014,0.02,0.023,0.033,0.038,0.031,0.026,0.028,0.023,0.03,0.036,0.033,0.023,0.024,0.014,0.019,0.022,0.024,0.022,0.032,0.023,0.026,0.021,0.026,0.022,0.029,0.027,0.023,0.021,0.023,0.043,0.039,0.031,0.032,1314031.0,1662963.347257
28999,0.013,0.014,0.019,0.031,0.031,0.027,0.023,0.029,0.023,0.027,0.037,0.032,0.029,0.021,0.019,0.016,0.021,0.031,0.026,0.029,0.02,0.022,0.019,0.021,0.024,0.028,0.026,0.022,0.015,0.021,0.043,0.026,0.028,0.03,1325300.0,1363859.676675
29000,0.017,0.018,0.02,0.033,0.03,0.026,0.024,0.027,0.027,0.028,0.029,0.034,0.03,0.026,0.02,0.017,0.02,0.031,0.024,0.029,0.021,0.02,0.02,0.027,0.023,0.026,0.027,0.023,0.015,0.025,0.036,0.031,0.012,0.031,1113949.0,1347498.974976
29001,0.017,0.018,0.021,0.033,0.029,0.026,0.024,0.031,0.028,0.034,0.029,0.031,0.026,0.024,0.023,0.019,0.024,0.035,0.024,0.026,0.022,0.028,0.016,0.021,0.029,0.029,0.025,0.023,0.021,0.026,0.042,0.035,0.023,0.027,1305399.0,1566503.041045
29002,0.017,0.019,0.021,0.031,0.039,0.024,0.025,0.024,0.025,0.03,0.033,0.03,0.027,0.023,0.022,0.021,0.019,0.032,0.026,0.026,0.02,0.03,0.02,0.024,0.029,0.033,0.026,0.022,0.02,0.023,0.051,0.036,0.02,0.025,1384132.0,1856677.67097
29003,0.016,0.021,0.021,0.039,0.029,0.025,0.026,0.029,0.026,0.03,0.035,0.04,0.034,0.024,0.023,0.024,0.024,0.033,0.024,0.036,0.027,0.029,0.023,0.026,0.022,0.033,0.029,0.028,0.022,0.025,0.058,0.047,0.029,0.028,1306905.0,1633910.849063
29004,0.017,0.021,0.023,0.038,0.03,0.029,0.023,0.027,0.029,0.029,0.033,0.032,0.036,0.026,0.021,0.02,0.024,0.031,0.024,0.029,0.018,0.028,0.021,0.022,0.03,0.032,0.028,0.025,0.018,0.022,0.054,0.036,0.025,0.025,1076075.0,1294710.56291
29005,0.02,0.025,0.022,0.031,0.038,0.023,0.024,0.029,0.023,0.027,0.033,0.028,0.029,0.022,0.019,0.019,0.022,0.03,0.023,0.023,0.02,0.024,0.02,0.023,0.026,0.03,0.025,0.024,0.017,0.02,0.035,0.036,0.014,0.024,1244694.0,1506660.859823
29006,0.02,0.024,0.024,0.032,0.029,0.023,0.027,0.024,0.034,0.028,0.031,0.035,0.029,0.027,0.017,0.02,0.021,0.043,0.024,0.026,0.022,0.033,0.019,0.028,0.025,0.027,0.027,0.023,0.021,0.024,0.048,0.026,0.017,0.025,1244579.0,1792077.718501
29007,0.017,0.019,0.019,0.025,0.014,0.02,0.019,0.025,0.034,0.025,0.024,0.029,0.027,0.022,0.024,0.015,0.018,0.027,0.016,0.026,0.02,0.028,0.018,0.022,0.023,0.028,0.024,0.021,0.018,0.02,0.043,0.029,0.025,0.021,1390783.0,1794442.636765
29008,0.013,0.02,0.019,0.03,0.021,0.024,0.026,0.024,0.027,0.027,0.025,0.03,0.025,0.026,0.017,0.019,0.021,0.028,0.02,0.029,0.018,0.028,0.02,0.024,0.086,0.027,0.025,0.021,0.018,0.023,0.049,0.024,0.02,0.026,1108014.0,1176688.714162
29009,0.019,0.023,0.016,0.028,0.017,0.025,0.027,0.025,0.022,0.032,0.029,0.03,0.024,0.025,0.019,0.018,0.018,0.03,0.022,0.024,0.017,0.024,0.017,0.023,0.024,0.028,0.022,0.021,0.02,0.024,0.034,0.029,0.026,0.021,1127701.0,1467596.034111
29010,0.019,0.012,0.024,0.033,0.024,0.023,0.025,0.029,0.03,0.031,0.033,0.03,0.033,0.031,0.015,0.021,0.028,0.031,0.02,0.026,0.021,0.027,0.019,0.028,0.019,0.031,0.027,0.024,0.022,0.026,0.068,0.027,0.022,0.024,1178490.0,1471048.427561
29011,0.014,0.017,0.021,0.027,0.02,0.021,0.025,0.024,0.027,0.028,0.026,0.029,0.029,0.023,0.017,0.018,0.016,0.019,0.022,0.022,0.018,0.026,0.02,0.026,0.02,0.029,0.023,0.022,0.018,0.023,0.049,0.022,0.019,0.027,1236499.0,1703879.627109
29012,0.018,0.015,0.024,0.029,0.022,0.024,0.027,0.029,0.028,0.032,0.033,0.032,0.03,0.025,0.016,0.02,0.023,0.033,0.028,0.03,0.018,0.03,0.021,0.022,0.018,0.038,0.023,0.021,0.026,0.024,0.044,0.039,0.031,0.024,1035025.0,1381119.847967
29013,0.014,0.015,0.016,0.027,0.051,0.024,0.022,0.024,0.025,0.027,0.031,0.028,0.02,0.023,0.014,0.019,0.019,0.033,0.026,0.027,0.017,0.031,0.016,0.024,0.019,0.026,0.022,0.02,0.018,0.026,0.037,0.027,0.021,0.024,1315492.0,1513725.373228
29014,0.011,0.021,0.019,0.023,0.018,0.024,0.021,0.024,0.024,0.024,0.033,0.029,0.023,0.022,0.016,0.018,0.021,0.027,0.022,0.019,0.014,0.026,0.017,0.02,0.023,0.027,0.02,0.018,0.016,0.02,0.032,0.021,0.023,0.027,1131806.0,1622264.813454
29015,0.013,0.014,0.019,0.032,0.034,0.028,0.026,0.031,0.021,0.033,0.029,0.036,0.029,0.021,0.017,0.02,0.019,0.023,0.028,0.025,0.018,0.026,0.017,0.023,0.027,0.031,0.025,0.021,0.018,0.022,0.061,0.031,0.022,0.023,1059313.0,1139033.777731
29016,0.013,0.013,0.018,0.026,0.022,0.022,0.023,0.022,0.025,0.026,0.026,0.024,0.032,0.021,0.014,0.018,0.017,0.032,0.022,0.021,0.015,0.022,0.016,0.023,0.021,0.026,0.021,0.018,0.015,0.02,0.043,0.023,0.02,0.021,1291429.0,1778540.749043
29017,0.011,0.014,0.016,0.029,0.034,0.024,0.022,0.027,0.022,0.027,0.035,0.027,0.027,0.026,0.019,0.019,0.021,0.025,0.024,0.031,0.019,0.02,0.017,0.025,0.018,0.029,0.02,0.023,0.017,0.024,0.042,0.019,0.019,0.02,1081716.0,1702201.738778
29018,0.018,0.018,0.019,0.029,0.019,0.019,0.024,0.023,0.033,0.028,0.032,0.027,0.028,0.022,0.012,0.019,0.016,0.029,0.019,0.026,0.019,0.03,0.019,0.023,0.029,0.029,0.024,0.022,0.019,0.023,0.053,0.031,0.016,0.025,1193945.0,1605555.16298
29019,0.018,0.017,0.022,0.029,0.016,0.023,0.022,0.021,0.024,0.029,0.028,0.029,0.035,0.022,0.01,0.018,0.02,0.026,0.023,0.02,0.019,0.027,0.018,0.022,0.023,0.03,0.022,0.021,0.019,0.024,0.06,0.031,0.021,0.029,1135911.0,1571357.005034
29020,0.015,0.02,0.024,0.027,0.042,0.027,0.023,0.029,0.023,0.028,0.044,0.03,0.036,0.021,0.012,0.021,0.024,0.041,0.037,0.031,0.02,0.027,0.024,0.026,0.024,0.038,0.029,0.019,0.018,0.027,0.043,0.04,0.015,0.024,1071353.0,1538793.631382
29021,0.018,0.02,0.016,0.021,0.019,0.023,0.022,0.024,0.024,0.026,0.029,0.029,0.023,0.021,0.016,0.013,0.02,0.028,0.024,0.027,0.019,0.023,0.016,0.023,0.021,0.024,0.022,0.019,0.016,0.022,0.042,0.026,0.017,0.021,1210932.0,1695314.667027
29022,0.016,0.016,0.022,0.028,0.036,0.024,0.022,0.029,0.029,0.027,0.031,0.029,0.029,0.023,0.013,0.02,0.018,0.03,0.02,0.031,0.019,0.026,0.018,0.021,0.025,0.028,0.021,0.021,0.017,0.022,0.04,0.032,0.025,0.023,1107831.0,1470107.131418
29023,0.009,0.027,0.019,0.034,0.018,0.021,0.023,0.02,0.023,0.029,0.033,0.03,0.025,0.024,0.018,0.015,0.02,0.024,0.019,0.024,0.018,0.027,0.018,0.024,0.019,0.027,0.021,0.024,0.017,0.024,0.054,0.023,0.017,0.024,1093526.0,1461360.235733
29024,0.017,0.016,0.017,0.03,0.024,0.018,0.024,0.024,0.031,0.026,0.029,0.028,0.025,0.023,0.012,0.017,0.018,0.028,0.021,0.026,0.017,0.029,0.015,0.02,0.023,0.027,0.021,0.018,0.016,0.023,0.033,0.019,0.017,0.027,1309318.0,1856582.750287
29025,0.015,0.012,0.017,0.026,0.027,0.025,0.026,0.022,0.023,0.032,0.026,0.027,0.028,0.021,0.016,0.017,0.015,0.028,0.017,0.031,0.016,0.025,0.016,0.022,0.02,0.029,0.022,0.02,0.017,0.02,0.041,0.02,0.019,0.022,1066949.0,1557791.755477
29026,0.012,0.019,0.019,0.029,0.014,0.023,0.024,0.024,0.032,0.03,0.031,0.029,0.024,0.019,0.014,0.021,0.018,0.034,0.028,0.034,0.019,0.025,0.018,0.024,0.025,0.032,0.024,0.02,0.016,0.025,0.057,0.042,0.012,0.026,1022913.0,1466694.164119
29027,0.013,0.013,0.025,0.028,0.024,0.026,0.022,0.026,0.029,0.029,0.03,0.026,0.035,0.025,0.016,0.022,0.018,0.026,0.024,0.018,0.021,0.029,0.021,0.024,0.03,0.027,0.023,0.022,0.021,0.028,0.041,0.034,0.024,0.024,1101888.0,1514846.654088
29028,0.016,0.017,0.022,0.024,0.018,0.026,0.026,0.026,0.026,0.031,0.032,0.032,0.032,0.023,0.01,0.018,0.02,0.036,0.024,0.02,0.023,0.027,0.021,0.024,0.024,0.029,0.023,0.022,0.018,0.024,0.044,0.043,0.021,0.028,1208398.0,1638917.049984
29029,0.014,0.012,0.024,0.03,0.063,0.029,0.026,0.027,0.023,0.025,0.03,0.032,0.024,0.022,0.023,0.018,0.018,0.026,0.028,0.027,0.02,0.027,0.02,0.021,0.025,0.034,0.024,0.025,0.016,0.03,0.048,0.034,0.018,0.024,1117951.0,1411384.384547
29030,0.015,0.017,0.023,0.033,0.031,0.02,0.024,0.025,0.023,0.029,0.026,0.033,0.034,0.023,0.01,0.02,0.018,0.042,0.03,0.032,0.019,0.024,0.018,0.025,0.021,0.036,0.025,0.023,0.016,0.025,0.083,0.025,0.02,0.029,1067879.0,1488992.310389
