lh.aparc.gauscurv,lh_bankssts_gauscurv,lh_caudalanteriorcingulate_gauscurv,lh_caudalmiddlefrontal_gauscurv,lh_cuneus_gauscurv,lh_entorhinal_gauscurv,lh_fusiform_gauscurv,lh_inferiorparietal_gauscurv,lh_inferiortemporal_gauscurv,lh_isthmuscingulate_gauscurv,lh_lateraloccipital_gauscurv,lh_lateralorbitofrontal_gauscurv,lh_lingual_gauscurv,lh_medialorbitofrontal_gauscurv,lh_middletemporal_gauscurv,lh_parahippocampal_gauscurv,lh_paracentral_gauscurv,lh_parsopercularis_gauscurv,lh_parsorbitalis_gauscurv,lh_parstriangularis_gauscurv,lh_pericalcarine_gauscurv,lh_postcentral_gauscurv,lh_posteriorcingulate_gauscurv,lh_precentral_gauscurv,lh_precuneus_gauscurv,lh_rostralanteriorcingulate_gauscurv,lh_rostralmiddlefrontal_gauscurv,lh_superiorfrontal_gauscurv,lh_superiorparietal_gauscurv,lh_superiortemporal_gauscurv,lh_supramarginal_gauscurv,lh_frontalpole_gauscurv,lh_temporalpole_gauscurv,lh_transversetemporal_gauscurv,lh_insula_gauscurv,BrainSegVolNotVent,eTIV
50378,0.016,0.026,0.025,0.042,0.042,0.039,0.039,0.033,0.035,0.042,0.041,0.04,0.037,0.034,0.047,0.026,0.028,0.035,0.026,0.037,0.032,0.031,0.028,0.032,0.037,0.035,0.034,0.035,0.031,0.03,0.064,0.059,0.033,0.038,1177278.0,1562558.184091
50379,0.018,0.025,0.026,0.041,0.077,0.036,0.034,0.035,0.033,0.039,0.039,0.039,0.038,0.034,0.034,0.029,0.026,0.052,0.025,0.035,0.027,0.033,0.031,0.03,0.03,0.032,0.039,0.033,0.027,0.034,0.056,0.041,0.034,0.032,1142387.0,1459661.53151
50380,0.017,0.021,0.022,0.047,0.034,0.038,0.031,0.041,0.033,0.037,0.038,0.045,0.038,0.037,0.024,0.026,0.031,0.042,0.029,0.041,0.026,0.035,0.029,0.034,0.035,0.032,0.028,0.029,0.029,0.029,0.07,0.062,0.038,0.036,1242046.0,1553372.006263
50381,0.02,0.024,0.03,0.046,0.048,0.036,0.035,0.05,0.043,0.046,0.037,0.042,0.035,0.045,0.032,0.034,0.029,0.043,0.025,0.041,0.034,0.029,0.035,0.032,0.038,0.036,0.035,0.038,0.036,0.039,0.057,0.049,0.031,0.038,1296296.0,1474931.25321
50382,0.019,0.016,0.026,0.037,0.067,0.039,0.031,0.04,0.032,0.039,0.036,0.039,0.038,0.034,0.02,0.024,0.022,0.037,0.02,0.031,0.028,0.029,0.027,0.027,0.028,0.032,0.028,0.029,0.023,0.029,0.046,0.046,0.025,0.031,1258335.0,1646193.471198
50383,0.02,0.025,0.031,0.04,0.056,0.032,0.035,0.04,0.031,0.05,0.038,0.041,0.035,0.04,0.023,0.028,0.03,0.053,0.029,0.036,0.03,0.036,0.036,0.035,0.032,0.038,0.035,0.039,0.032,0.033,0.079,0.096,0.033,0.038,1154501.0,1318840.382953
50385,0.03,0.028,0.03,0.045,0.045,0.031,0.032,0.042,0.027,0.043,0.035,0.036,0.044,0.038,0.02,0.022,0.026,0.041,0.028,0.039,0.028,0.032,0.028,0.035,0.025,0.036,0.03,0.028,0.029,0.029,0.065,0.035,0.052,0.035,1222513.0,1581142.429147
50386,0.027,0.021,0.026,0.042,0.041,0.039,0.034,0.04,0.036,0.042,0.042,0.039,0.04,0.041,0.023,0.025,0.028,0.042,0.026,0.044,0.027,0.034,0.031,0.029,0.033,0.04,0.032,0.029,0.033,0.027,0.047,0.037,0.037,0.038,1354784.0,1762525.400925
50387,0.016,0.018,0.032,0.04,0.064,0.036,0.032,0.04,0.038,0.045,0.038,0.047,0.039,0.044,0.022,0.034,0.03,0.03,0.026,0.034,0.032,0.037,0.037,0.03,0.034,0.041,0.038,0.04,0.034,0.032,0.075,0.06,0.033,0.039,1241659.0,1535309.673437
50388,0.026,0.021,0.024,0.052,0.049,0.043,0.038,0.04,0.038,0.048,0.034,0.042,0.039,0.045,0.027,0.027,0.027,0.048,0.028,0.043,0.03,0.027,0.03,0.034,0.021,0.037,0.029,0.039,0.033,0.036,0.066,0.051,0.026,0.032,1257808.0,1657489.586002
50390,0.016,0.015,0.024,0.043,0.064,0.034,0.031,0.041,0.03,0.036,0.034,0.035,0.042,0.043,0.02,0.02,0.026,0.033,0.034,0.044,0.026,0.028,0.024,0.035,0.028,0.04,0.027,0.03,0.025,0.031,0.055,0.039,0.027,0.029,1219051.0,1550780.265666
50391,0.02,0.031,0.021,0.042,0.054,0.031,0.026,0.035,0.026,0.038,0.036,0.039,0.033,0.027,0.022,0.033,0.021,0.046,0.026,0.04,0.025,0.029,0.024,0.026,0.026,0.034,0.031,0.027,0.021,0.024,0.066,0.029,0.042,0.035,1306535.0,1684515.674118
50397,0.016,0.034,0.02,0.046,0.078,0.041,0.035,0.043,0.033,0.04,0.04,0.041,0.04,0.038,0.036,0.028,0.027,0.044,0.034,0.043,0.028,0.028,0.026,0.032,0.031,0.037,0.032,0.03,0.03,0.026,0.069,0.064,0.045,0.029,1083300.0,1491552.72017
50399,0.021,0.019,0.024,0.039,0.062,0.033,0.03,0.043,0.037,0.039,0.041,0.037,0.037,0.039,0.028,0.027,0.024,0.035,0.025,0.035,0.026,0.032,0.027,0.033,0.031,0.031,0.034,0.033,0.027,0.03,0.053,0.054,0.03,0.031,1093281.0,1564183.325162
50402,0.023,0.027,0.03,0.042,0.067,0.041,0.033,0.034,0.031,0.05,0.037,0.045,0.042,0.038,0.025,0.032,0.028,0.041,0.024,0.039,0.03,0.032,0.026,0.03,0.04,0.038,0.033,0.039,0.025,0.029,0.063,0.043,0.031,0.049,1101268.0,1379680.042278
50403,0.023,0.021,0.037,0.044,0.052,0.049,0.039,0.034,0.035,0.057,0.056,0.044,0.05,0.029,0.025,0.043,0.038,0.069,0.039,0.043,0.041,0.029,0.034,0.036,0.032,0.05,0.046,0.043,0.032,0.035,0.074,0.07,0.038,0.038,1327004.0,1803828.061993
50404,0.024,0.034,0.031,0.054,0.04,0.049,0.037,0.068,0.032,0.053,0.05,0.049,0.048,0.043,0.037,0.029,0.041,0.077,0.035,0.034,0.035,0.032,0.034,0.032,0.04,0.043,0.033,0.033,0.034,0.047,0.084,0.076,0.029,0.034,752161.0,1026370.486799
50405,0.015,0.019,0.022,0.049,0.043,0.039,0.028,0.034,0.026,0.051,0.046,0.043,0.036,0.026,0.032,0.033,0.02,0.054,0.022,0.045,0.027,0.03,0.027,0.03,0.036,0.03,0.03,0.031,0.025,0.028,0.061,0.049,0.034,0.035,1228230.0,1587895.922346
50406,0.022,0.026,0.03,0.05,0.036,0.041,0.036,0.036,0.031,0.052,0.047,0.047,0.047,0.033,0.029,0.032,0.024,0.051,0.037,0.044,0.03,0.029,0.033,0.035,0.036,0.04,0.042,0.037,0.031,0.036,0.059,0.063,0.036,0.041,1273170.0,1638104.171373
50407,0.033,0.024,0.029,0.049,0.037,0.039,0.037,0.042,0.03,0.057,0.042,0.058,0.041,0.029,0.018,0.03,0.024,0.044,0.028,0.053,0.029,0.028,0.029,0.032,0.036,0.033,0.035,0.033,0.029,0.032,0.062,0.043,0.037,0.036,1020632.0,1306990.658457
50408,0.024,0.02,0.031,0.047,0.062,0.044,0.033,0.034,0.034,0.053,0.048,0.053,0.052,0.035,0.03,0.041,0.032,0.063,0.033,0.046,0.033,0.032,0.033,0.034,0.031,0.044,0.036,0.042,0.029,0.038,0.051,0.036,0.027,0.036,1265188.0,1683831.119649
50410,0.025,0.023,0.04,0.053,0.058,0.047,0.037,0.053,0.04,0.058,0.044,0.05,0.045,0.04,0.03,0.036,0.032,0.064,0.041,0.052,0.034,0.025,0.042,0.04,0.048,0.044,0.045,0.041,0.038,0.039,0.067,0.058,0.045,0.046,1239922.0,1678073.218181
50411,0.022,0.03,0.033,0.054,0.045,0.039,0.036,0.038,0.031,0.048,0.05,0.047,0.043,0.037,0.025,0.037,0.029,0.049,0.03,0.041,0.038,0.028,0.036,0.034,0.041,0.036,0.035,0.037,0.035,0.039,0.079,0.048,0.037,0.04,1450564.0,1849655.790782
50412,0.025,0.018,0.028,0.041,0.033,0.042,0.031,0.037,0.025,0.044,0.038,0.04,0.034,0.031,0.033,0.027,0.037,0.054,0.036,0.043,0.034,0.028,0.032,0.032,0.037,0.043,0.033,0.03,0.034,0.031,0.07,0.057,0.036,0.035,1202063.0,1555027.949804
50413,0.017,0.022,0.026,0.053,0.036,0.038,0.028,0.034,0.031,0.041,0.045,0.047,0.037,0.03,0.027,0.025,0.028,0.044,0.025,0.045,0.026,0.027,0.026,0.029,0.04,0.03,0.029,0.03,0.028,0.031,0.043,0.037,0.03,0.032,1234721.0,1554006.000624
50414,0.026,0.022,0.028,0.066,0.061,0.046,0.039,0.039,0.034,0.06,0.041,0.046,0.037,0.033,0.032,0.04,0.027,0.046,0.033,0.054,0.026,0.036,0.024,0.033,0.041,0.037,0.033,0.03,0.022,0.029,0.047,0.041,0.027,0.041,1150755.0,1365298.686771
50415,0.019,0.028,0.038,0.053,0.047,0.039,0.033,0.04,0.029,0.05,0.067,0.046,0.05,0.039,0.025,0.027,0.028,0.044,0.033,0.05,0.03,0.029,0.037,0.033,0.035,0.04,0.036,0.038,0.033,0.036,0.075,0.059,0.031,0.03,1120191.0,1516386.539804
50416,0.022,0.026,0.029,0.045,0.038,0.042,0.03,0.042,0.034,0.047,0.043,0.046,0.049,0.03,0.023,0.037,0.031,0.042,0.025,0.04,0.031,0.025,0.034,0.028,0.036,0.037,0.032,0.029,0.03,0.033,0.064,0.049,0.03,0.03,1262500.0,1687645.942886
50417,0.017,0.023,0.025,0.061,0.04,0.048,0.035,0.037,0.036,0.051,0.04,0.045,0.061,0.035,0.035,0.047,0.027,0.048,0.028,0.043,0.027,0.029,0.029,0.046,0.057,0.035,0.037,0.033,0.026,0.032,0.085,0.075,0.025,0.036,1113462.0,1488034.421547
50418,0.037,0.022,0.027,0.055,0.06,0.051,0.04,0.042,0.037,0.055,0.047,0.05,0.047,0.045,0.039,0.033,0.038,0.048,0.029,0.048,0.038,0.025,0.039,0.039,0.053,0.037,0.037,0.037,0.045,0.042,0.059,0.053,0.059,0.044,1158835.0,1564528.200788
50419,0.02,0.021,0.032,0.052,0.041,0.05,0.036,0.043,0.034,0.049,0.044,0.049,0.053,0.035,0.035,0.036,0.036,0.057,0.046,0.035,0.031,0.031,0.029,0.038,0.044,0.046,0.037,0.036,0.031,0.027,0.074,0.075,0.042,0.038,1024472.0,1362858.639887
50421,0.019,0.022,0.028,0.056,0.048,0.046,0.04,0.037,0.038,0.048,0.045,0.051,0.042,0.034,0.031,0.03,0.033,0.068,0.033,0.034,0.027,0.028,0.031,0.038,0.044,0.037,0.038,0.038,0.027,0.041,0.075,0.055,0.034,0.038,1228934.0,1616270.809686
50422,0.024,0.027,0.039,0.057,0.061,0.062,0.044,0.055,0.039,0.067,0.058,0.057,0.041,0.044,0.041,0.04,0.038,0.072,0.049,0.043,0.042,0.031,0.046,0.043,0.044,0.049,0.046,0.04,0.042,0.043,0.086,0.065,0.071,0.048,1152480.0,1626211.887368
50424,0.016,0.016,0.026,0.056,0.032,0.044,0.033,0.034,0.029,0.048,0.038,0.047,0.049,0.031,0.034,0.035,0.025,0.051,0.024,0.051,0.031,0.03,0.029,0.035,0.042,0.039,0.033,0.032,0.023,0.031,0.059,0.05,0.029,0.035,1191589.0,1532208.129628
50425,0.018,0.021,0.025,0.043,0.046,0.036,0.033,0.038,0.035,0.05,0.048,0.056,0.044,0.037,0.04,0.035,0.024,0.038,0.026,0.035,0.034,0.034,0.031,0.03,0.039,0.035,0.04,0.038,0.03,0.032,0.064,0.041,0.037,0.033,1192342.0,1539020.138146
50426,0.025,0.027,0.025,0.047,0.053,0.039,0.038,0.04,0.037,0.05,0.043,0.047,0.044,0.042,0.042,0.038,0.035,0.044,0.029,0.045,0.033,0.029,0.028,0.034,0.028,0.037,0.035,0.039,0.037,0.034,0.06,0.05,0.058,0.041,1133100.0,1498217.939769
50427,0.02,0.019,0.029,0.048,0.062,0.04,0.032,0.042,0.028,0.037,0.042,0.035,0.042,0.026,0.029,0.034,0.034,0.048,0.027,0.037,0.03,0.022,0.03,0.033,0.034,0.035,0.033,0.032,0.03,0.027,0.046,0.062,0.033,0.036,1137407.0,1394212.588845
50428,0.021,0.028,0.03,0.047,0.066,0.044,0.04,0.044,0.031,0.041,0.037,0.05,0.058,0.041,0.044,0.028,0.028,0.046,0.044,0.045,0.028,0.042,0.032,0.034,0.034,0.038,0.034,0.037,0.035,0.032,0.068,0.068,0.038,0.035,1011498.0,1206389.36933
50432,0.017,0.023,0.02,0.034,0.02,0.024,0.02,0.02,0.027,0.026,0.028,0.031,0.023,0.021,0.019,0.02,0.018,0.027,0.02,0.034,0.021,0.02,0.019,0.024,0.022,0.024,0.02,0.021,0.02,0.019,0.032,0.024,0.029,0.029,1717106.0,2289152.920064
50433,0.014,0.021,0.02,0.034,0.03,0.026,0.024,0.022,0.028,0.028,0.026,0.034,0.024,0.027,0.017,0.019,0.021,0.02,0.016,0.031,0.022,0.023,0.02,0.022,0.029,0.025,0.022,0.023,0.019,0.024,0.027,0.032,0.034,0.029,1293337.0,1623904.43413
50434,0.013,0.024,0.021,0.042,0.045,0.027,0.023,0.028,0.024,0.026,0.029,0.033,0.03,0.026,0.033,0.021,0.02,0.027,0.023,0.032,0.022,0.027,0.02,0.024,0.026,0.028,0.023,0.021,0.021,0.025,0.037,0.049,0.028,0.03,1084338.0,1379686.215787
50435,0.015,0.027,0.02,0.033,0.022,0.028,0.024,0.029,0.028,0.029,0.026,0.031,0.03,0.025,0.025,0.027,0.023,0.03,0.019,0.027,0.022,0.024,0.023,0.023,0.028,0.028,0.03,0.023,0.021,0.025,0.054,0.037,0.028,0.037,1377359.0,1736871.148313
50436,0.015,0.014,0.02,0.027,0.026,0.025,0.026,0.024,0.027,0.033,0.027,0.03,0.027,0.023,0.016,0.021,0.021,0.03,0.023,0.045,0.023,0.022,0.02,0.022,0.026,0.028,0.026,0.022,0.016,0.022,0.042,0.037,0.021,0.024,1303977.0,1651478.591576
50437,0.015,0.015,0.023,0.036,0.024,0.026,0.024,0.026,0.028,0.03,0.03,0.03,0.033,0.027,0.02,0.024,0.019,0.036,0.021,0.031,0.023,0.027,0.022,0.027,0.024,0.033,0.029,0.024,0.021,0.025,0.04,0.044,0.024,0.027,1341852.0,1648268.775041
50438,0.016,0.016,0.021,0.031,0.018,0.024,0.019,0.023,0.027,0.027,0.024,0.028,0.029,0.025,0.019,0.016,0.017,0.025,0.023,0.031,0.02,0.022,0.018,0.022,0.022,0.028,0.023,0.019,0.021,0.021,0.045,0.038,0.02,0.024,1293644.0,1614359.60994
50439,0.017,0.024,0.019,0.032,0.037,0.026,0.027,0.025,0.024,0.028,0.028,0.029,0.028,0.028,0.019,0.022,0.02,0.038,0.02,0.03,0.022,0.025,0.019,0.026,0.026,0.028,0.023,0.019,0.021,0.02,0.048,0.034,0.025,0.029,1368354.0,1808128.2609
50440,0.02,0.014,0.018,0.033,0.028,0.028,0.02,0.023,0.024,0.028,0.025,0.032,0.028,0.023,0.021,0.019,0.022,0.022,0.026,0.03,0.019,0.019,0.02,0.024,0.02,0.024,0.022,0.022,0.019,0.024,0.033,0.03,0.027,0.028,1254310.0,1619658.184414
50441,0.021,0.024,0.018,0.031,0.023,0.022,0.022,0.024,0.022,0.028,0.028,0.032,0.028,0.026,0.016,0.022,0.023,0.022,0.023,0.026,0.022,0.018,0.021,0.021,0.024,0.028,0.022,0.021,0.018,0.024,0.04,0.033,0.018,0.029,1346865.0,1709476.64774
50442,0.019,0.021,0.018,0.036,0.025,0.022,0.022,0.023,0.026,0.029,0.022,0.034,0.024,0.024,0.013,0.018,0.019,0.029,0.021,0.037,0.024,0.023,0.021,0.024,0.022,0.028,0.023,0.02,0.019,0.023,0.04,0.025,0.028,0.03,1322327.0,1710785.382968
50443,0.021,0.025,0.019,0.036,0.03,0.026,0.025,0.025,0.035,0.034,0.027,0.041,0.028,0.023,0.026,0.024,0.022,0.03,0.021,0.04,0.022,0.027,0.024,0.027,0.028,0.033,0.028,0.023,0.021,0.026,0.052,0.03,0.031,0.031,1354851.0,1765524.665799
50444,0.018,0.021,0.022,0.033,0.023,0.028,0.024,0.024,0.028,0.03,0.029,0.035,0.03,0.027,0.016,0.027,0.024,0.028,0.025,0.032,0.026,0.024,0.028,0.029,0.028,0.031,0.026,0.023,0.021,0.024,0.038,0.032,0.038,0.037,1097302.0,1437972.006486
50445,0.011,0.023,0.023,0.032,0.032,0.03,0.023,0.025,0.026,0.03,0.032,0.035,0.021,0.023,0.028,0.021,0.018,0.03,0.022,0.031,0.021,0.022,0.021,0.021,0.026,0.029,0.024,0.022,0.019,0.024,0.042,0.031,0.023,0.037,1232838.0,1597176.782878
50446,0.018,0.016,0.022,0.035,0.024,0.026,0.026,0.027,0.028,0.032,0.027,0.035,0.03,0.026,0.019,0.019,0.021,0.029,0.021,0.034,0.024,0.027,0.021,0.026,0.022,0.029,0.025,0.023,0.017,0.025,0.042,0.027,0.027,0.027,1347572.0,1832213.567844
50447,0.016,0.018,0.022,0.034,0.03,0.023,0.025,0.027,0.026,0.032,0.035,0.038,0.025,0.028,0.016,0.022,0.017,0.027,0.018,0.033,0.026,0.024,0.021,0.025,0.03,0.031,0.026,0.027,0.019,0.026,0.042,0.037,0.02,0.033,1396343.0,1724976.6592
50448,0.01,0.017,0.021,0.032,0.022,0.022,0.023,0.023,0.028,0.026,0.026,0.028,0.033,0.027,0.023,0.022,0.021,0.031,0.022,0.027,0.022,0.019,0.021,0.023,0.029,0.031,0.028,0.021,0.018,0.023,0.049,0.033,0.026,0.026,1399458.0,1630882.491041
50449,0.021,0.019,0.021,0.035,0.024,0.027,0.023,0.026,0.026,0.029,0.03,0.04,0.028,0.025,0.025,0.021,0.019,0.031,0.022,0.03,0.022,0.032,0.021,0.025,0.034,0.031,0.025,0.022,0.021,0.026,0.04,0.034,0.028,0.034,1269020.0,1645372.863385
50450,0.017,0.016,0.02,0.03,0.026,0.026,0.023,0.025,0.027,0.028,0.03,0.032,0.028,0.021,0.017,0.027,0.024,0.029,0.022,0.032,0.023,0.025,0.024,0.021,0.027,0.03,0.024,0.023,0.019,0.022,0.034,0.061,0.023,0.03,1380908.0,1795025.476346
50451,0.017,0.027,0.022,0.032,0.019,0.028,0.026,0.027,0.027,0.031,0.03,0.034,0.029,0.027,0.019,0.02,0.018,0.029,0.021,0.027,0.023,0.027,0.024,0.025,0.025,0.026,0.026,0.024,0.021,0.026,0.033,0.037,0.025,0.033,1178975.0,1448921.266519
50452,0.016,0.014,0.02,0.034,0.023,0.024,0.021,0.025,0.03,0.027,0.024,0.028,0.021,0.02,0.017,0.018,0.017,0.026,0.02,0.032,0.02,0.022,0.019,0.022,0.023,0.025,0.024,0.019,0.017,0.021,0.042,0.037,0.023,0.032,1323691.0,1695739.153842
50453,0.013,0.022,0.027,0.035,0.04,0.028,0.022,0.033,0.029,0.029,0.032,0.032,0.036,0.025,0.031,0.023,0.022,0.038,0.028,0.03,0.02,0.02,0.022,0.025,0.03,0.032,0.031,0.027,0.019,0.024,0.052,0.044,0.033,0.037,1250724.0,1480828.629163
50454,0.022,0.026,0.02,0.035,0.02,0.024,0.021,0.026,0.026,0.029,0.024,0.032,0.026,0.025,0.019,0.022,0.02,0.023,0.022,0.031,0.022,0.03,0.019,0.025,0.024,0.028,0.025,0.022,0.02,0.023,0.045,0.032,0.026,0.029,1289623.0,1582719.25273
50455,0.014,0.019,0.022,0.032,0.038,0.029,0.023,0.027,0.026,0.029,0.036,0.032,0.04,0.028,0.028,0.026,0.021,0.04,0.029,0.028,0.022,0.029,0.024,0.024,0.037,0.034,0.028,0.023,0.022,0.029,0.06,0.046,0.03,0.034,1293113.0,1739884.986775
50456,0.017,0.027,0.024,0.037,0.026,0.028,0.024,0.028,0.029,0.031,0.039,0.034,0.036,0.023,0.019,0.027,0.021,0.03,0.022,0.033,0.025,0.025,0.027,0.026,0.032,0.031,0.029,0.024,0.019,0.026,0.056,0.033,0.032,0.033,1320843.0,1754200.772172
50457,0.014,0.025,0.021,0.033,0.02,0.022,0.024,0.025,0.026,0.028,0.028,0.031,0.028,0.024,0.017,0.017,0.021,0.025,0.025,0.028,0.024,0.028,0.022,0.024,0.023,0.028,0.026,0.02,0.018,0.021,0.053,0.041,0.026,0.026,1301072.0,1637034.26839
50458,0.017,0.021,0.023,0.038,0.028,0.029,0.028,0.029,0.028,0.033,0.031,0.035,0.028,0.027,0.019,0.021,0.019,0.03,0.02,0.035,0.024,0.028,0.021,0.026,0.034,0.029,0.026,0.027,0.022,0.029,0.038,0.033,0.025,0.031,1175667.0,1525122.455394
50459,0.015,0.023,0.017,0.038,0.023,0.025,0.023,0.024,0.024,0.025,0.025,0.029,0.026,0.023,0.026,0.018,0.019,0.022,0.018,0.025,0.017,0.027,0.019,0.021,0.027,0.024,0.022,0.019,0.02,0.022,0.028,0.043,0.023,0.029,1219321.0,1580225.529867
50460,0.014,0.023,0.02,0.03,0.018,0.027,0.022,0.025,0.023,0.026,0.026,0.033,0.031,0.021,0.029,0.019,0.018,0.031,0.018,0.025,0.02,0.023,0.022,0.026,0.025,0.027,0.023,0.021,0.019,0.025,0.053,0.04,0.028,0.03,1437987.0,1834646.747057
50461,0.019,0.018,0.022,0.039,0.027,0.026,0.022,0.029,0.026,0.03,0.025,0.041,0.033,0.023,0.043,0.02,0.022,0.033,0.023,0.027,0.021,0.025,0.021,0.024,0.029,0.027,0.024,0.024,0.021,0.023,0.042,0.025,0.029,0.033,1255158.0,1571605.594002
50462,0.017,0.014,0.02,0.031,0.022,0.024,0.019,0.022,0.025,0.026,0.024,0.033,0.035,0.019,0.026,0.019,0.022,0.026,0.019,0.034,0.02,0.026,0.019,0.023,0.022,0.026,0.022,0.019,0.016,0.022,0.04,0.023,0.018,0.031,1269761.0,1779144.680953
50463,0.02,0.023,0.026,0.039,0.041,0.032,0.027,0.028,0.025,0.035,0.037,0.042,0.041,0.028,0.03,0.026,0.028,0.05,0.027,0.04,0.03,0.023,0.027,0.029,0.031,0.034,0.032,0.027,0.026,0.031,0.06,0.065,0.032,0.034,1235802.0,1648913.732822
50464,0.016,0.019,0.023,0.027,0.018,0.027,0.022,0.025,0.028,0.029,0.031,0.03,0.032,0.023,0.017,0.022,0.018,0.038,0.02,0.024,0.025,0.023,0.02,0.024,0.025,0.028,0.026,0.024,0.016,0.023,0.05,0.029,0.021,0.033,1302319.0,1561418.147329
50465,0.019,0.019,0.021,0.038,0.025,0.024,0.024,0.025,0.03,0.032,0.029,0.034,0.023,0.023,0.023,0.024,0.02,0.035,0.023,0.034,0.023,0.024,0.021,0.026,0.028,0.027,0.024,0.025,0.017,0.022,0.04,0.031,0.036,0.031,1167947.0,1516898.747483
50466,0.018,0.017,0.021,0.039,0.028,0.028,0.027,0.029,0.027,0.032,0.025,0.035,0.03,0.027,0.017,0.021,0.022,0.025,0.019,0.032,0.022,0.024,0.022,0.023,0.028,0.029,0.022,0.022,0.019,0.026,0.026,0.035,0.035,0.029,1123062.0,1460437.558168
50467,0.02,0.02,0.024,0.032,0.026,0.027,0.019,0.028,0.03,0.031,0.032,0.031,0.03,0.024,0.025,0.026,0.025,0.031,0.026,0.025,0.024,0.025,0.024,0.022,0.033,0.028,0.028,0.024,0.023,0.024,0.042,0.035,0.021,0.025,1164745.0,1532039.492446
50468,0.021,0.023,0.022,0.036,0.035,0.031,0.025,0.03,0.038,0.032,0.033,0.036,0.035,0.029,0.02,0.022,0.02,0.038,0.026,0.034,0.025,0.033,0.024,0.03,0.028,0.031,0.028,0.026,0.022,0.026,0.048,0.041,0.027,0.034,1309197.0,1750303.303528
50469,0.016,0.017,0.022,0.031,0.031,0.025,0.021,0.027,0.028,0.029,0.031,0.031,0.031,0.024,0.019,0.023,0.021,0.033,0.029,0.024,0.024,0.027,0.022,0.024,0.027,0.03,0.024,0.022,0.021,0.024,0.053,0.037,0.028,0.031,1285617.0,1597028.813587
50470,0.013,0.019,0.019,0.025,0.02,0.022,0.021,0.027,0.022,0.025,0.03,0.029,0.027,0.028,0.011,0.016,0.022,0.038,0.021,0.026,0.022,0.022,0.021,0.024,0.026,0.028,0.028,0.022,0.022,0.025,0.036,0.038,0.016,0.026,1316863.0,1533186.353716
50471,0.014,0.02,0.021,0.03,0.016,0.025,0.022,0.026,0.025,0.027,0.03,0.032,0.027,0.023,0.032,0.027,0.018,0.032,0.02,0.033,0.021,0.025,0.025,0.02,0.032,0.028,0.023,0.022,0.02,0.021,0.036,0.023,0.026,0.029,1309719.0,1657871.456681
50472,0.014,0.018,0.024,0.033,0.019,0.025,0.024,0.021,0.031,0.029,0.03,0.032,0.025,0.024,0.023,0.027,0.021,0.038,0.02,0.031,0.025,0.024,0.026,0.023,0.027,0.034,0.027,0.028,0.018,0.023,0.06,0.025,0.028,0.033,1172832.0,1531523.899865
50473,0.017,0.016,0.016,0.029,0.029,0.025,0.021,0.022,0.025,0.026,0.026,0.029,0.026,0.022,0.017,0.018,0.018,0.022,0.02,0.031,0.02,0.02,0.018,0.022,0.022,0.024,0.02,0.017,0.018,0.023,0.039,0.034,0.017,0.029,1362053.0,1868094.420459
50474,0.019,0.02,0.02,0.033,0.035,0.03,0.026,0.025,0.026,0.03,0.029,0.041,0.026,0.026,0.021,0.019,0.019,0.035,0.023,0.032,0.022,0.022,0.019,0.026,0.023,0.027,0.025,0.022,0.023,0.026,0.03,0.043,0.032,0.033,1258215.0,1629990.575923
50475,0.017,0.022,0.017,0.034,0.02,0.024,0.021,0.026,0.026,0.029,0.025,0.033,0.026,0.022,0.024,0.019,0.019,0.03,0.017,0.032,0.023,0.026,0.02,0.023,0.027,0.025,0.025,0.021,0.018,0.023,0.035,0.029,0.022,0.03,1295231.0,1641925.195626
50476,0.025,0.023,0.023,0.038,0.045,0.036,0.026,0.036,0.031,0.033,0.032,0.037,0.035,0.031,0.021,0.022,0.025,0.037,0.025,0.034,0.029,0.028,0.025,0.027,0.033,0.034,0.029,0.029,0.024,0.032,0.051,0.064,0.033,0.031,1137675.0,1453714.451975
50477,0.017,0.021,0.018,0.033,0.039,0.033,0.024,0.026,0.028,0.031,0.028,0.038,0.026,0.023,0.03,0.016,0.021,0.028,0.02,0.033,0.021,0.02,0.02,0.025,0.031,0.032,0.024,0.024,0.021,0.025,0.045,0.043,0.029,0.025,1201056.0,1541044.846313
50478,0.015,0.024,0.021,0.03,0.02,0.027,0.026,0.027,0.026,0.031,0.026,0.038,0.024,0.028,0.018,0.021,0.023,0.028,0.021,0.026,0.023,0.026,0.022,0.024,0.036,0.03,0.024,0.025,0.02,0.026,0.032,0.028,0.024,0.03,1243385.0,1574033.351035
50479,0.016,0.021,0.02,0.034,0.035,0.026,0.025,0.029,0.028,0.029,0.025,0.034,0.028,0.027,0.017,0.024,0.018,0.029,0.024,0.023,0.026,0.03,0.021,0.027,0.029,0.03,0.024,0.027,0.021,0.027,0.039,0.041,0.027,0.032,1347240.0,1787139.207277
50480,0.018,0.017,0.023,0.028,0.025,0.027,0.024,0.024,0.026,0.029,0.029,0.033,0.03,0.024,0.025,0.023,0.019,0.022,0.022,0.029,0.023,0.024,0.023,0.024,0.029,0.027,0.024,0.024,0.021,0.025,0.044,0.032,0.032,0.034,1388783.0,1788261.152595
50481,0.02,0.022,0.022,0.037,0.028,0.028,0.023,0.028,0.029,0.031,0.031,0.039,0.03,0.03,0.022,0.022,0.024,0.025,0.028,0.033,0.024,0.032,0.022,0.027,0.028,0.029,0.027,0.021,0.022,0.026,0.047,0.038,0.019,0.036,1205931.0,1534592.840768
